Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),Wildfire_Probability,AcresBurned,County,Latitude,Longitude,Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),
Siskiyou,6/7/2016,41.623,-123.557,2016-06-07T02:45:00Z,,2860,Siskiyou,41.577778,-122.838125,225,0,0.65,1.95,4.57,93,59.3,76.3,100,31,,
Kern,6/11/2016,35.77135,-120.251,2016-06-11T16:02:00Z,,61,Kern,35.649861,-119.9593,54,0,0,0.22,0.97,87.1,59.5,71.4,68,22,41,
San Benito,6/11/2016,36.49914,-121.04993,2016-06-11T15:04:00Z,,83,San Benito,36.854833,-121.36275,126,0,0,0.25,1.57,84.7,46.4,63.1,83,29,58,
Tehama,6/11/2016,39.7947,-121.857,2016-06-11T14:30:00Z,,80,Tehama,40.040006,-122.154539,222,0,0.27,1.78,2.5,87.3,63.9,75,40,15,27,
Shasta,6/12/2016,40.61388,-122.46777,2016-06-12T12:45:00Z,,24,Shasta,40.63,-122.31,224,0,0.71,2.44,4.21,95.2,62.1,80.3,64,7,21,
Ventura,6/15/2016,33.11645,-116.58542,2016-06-15T15:21:00Z,,15,Ventura,34.269031,-118.849319,217,0.04,2.51,4.57,6.46,71.6,51.9,60.4,94,55,74,
Monterey,6/17/2016,36.01542,-121.25029,2016-06-17T14:30:00Z,,2520,Monterey,36.121083,-121.08457,113,0,0.02,0.07,0.16,86.3,47.6,64.2,89,27,62,
Tehama,6/17/2016,39.93965,-122.40142,2016-06-17T14:54:00Z,,43,Tehama,40.040006,-122.154539,222,0.5,0.8,2.28,2.99,70.4,56.7,63.1,97,64,80,
Butte,6/18/2016,39.595,-121.6008,2016-06-18T16:47:00Z,,112,Butte,39.608639,-121.82443,12,0.17,0.38,1.81,2.3,77.4,52.4,64,98,30,69,
Calaveras,6/19/2016,38.22017,-120.8678,2016-06-19T11:03:00Z,,33,Amador,38.508333,-120.79972,227,0,0.44,2.3,4.25,87.1,51.5,70.4,86,23,43,Keep?
Monterey,6/20/2016,36.2833,-121.3306,2016-06-20T16:38:00Z,,70,Monterey,36.347306,-121.29135,114,0,0,0,0.05,87,51.8,68.7,88,24,51,
Amador,6/21/2016,38.26874,-120.90265,2016-06-21T10:26:00Z,,210,Amador,38.508333,-120.79972,227,0,0.13,2.3,3.68,93.7,54.3,76.8,61,13,28,
Placer,6/21/2016,38.86804,-121.37704,2016-06-21T12:24:00Z,,88,Placer,38.887603,-121.10291,195,0,0.62,2.02,2.73,97.7,68.8,81.2,40,13,28,
Butte,6/21/2016,39.43351,-121.6051,2016-06-21T15:09:00Z,,49,Butte,39.386632,-121.835278,244,0,0.07,1.18,1.24,97.9,61.6,81,82,24,50,
Monterey,6/23/2016,36.1934,-120.9293,2016-06-23T17:57:00Z,,52,Monterey,36.121083,-121.08457,113,0,0.02,0.05,0.12,93.7,45.5,67.6,92,11,42,
Sacramento,6/23/2016,38.517772,-121.103642,2016-06-23T15:51:00Z,,87,Sacramento,38.649964,-121.21887,131,0,0,0.53,1.75,91.6,59.2,74.4,62,25,41,
Merced,6/25/2016,37.07147,-121.20155,2016-06-25T16:11:00Z,,1246,Merced,37.231861,-120.88082,92,0,0,0.44,0.66,99.2,49.2,77.6,75,11,29,
Alameda,6/25/2016,37.74369,-121.58677,2016-06-25T23:45:00Z,,211,Alameda,37.663969,-121.88503,191,0,0.11,0.46,2.15,94.2,54,74.9,76,14,34,
Mono,6/25/2016,37.97,-119.14,2016-06-25T06:30:00Z,,650,Inyo,37.358514,-118.40553,35,0,0.78,1.16,1.93,96.2,47.5,75.2,57,14,27,Keep?
Orange,6/26/2016,33.57872,-117.77395,2016-06-26T13:10:00Z,,47,Orange,33.68845,-117.72118,75,0,0,0.12,0.15,84.5,59.1,70.6,99,54,74,
Yolo,6/26/2016,38.69971,-122.15457,2016-06-26T15:45:00Z,,277,Yolo,38.691786,-122.01381,196,0,0.01,0.96,1.3,103.2,66.8,87.7,65,20,31,
Lake,6/26/2016,39.12366,-122.50373,2016-06-26T16:00:00Z,,215,Colusa,39.226861,-122.0248,32,0,0.07,0.83,1.04,97.6,59.6,79.9,91,25,49,Keep?
San Diego,6/27/2016,32.60729,-116.63028,2016-06-27T18:00:00Z,,7609,San Diego,32.628208,-116.93928,147,0,0.13,0.97,2,85.5,63.1,72.9,93,44,68,
San Luis Obispo,6/27/2016,35.70821,-120.82266,2016-06-27T12:07:00Z,,86,San Luis Obispo,35.472556,-120.64814,163,0,0.21,0.7,1.54,106.2,57,84.3,71,11,24,
Amador,6/28/2016,38.385,-121.003611,2016-06-28T19:02:00Z,,372,Amador,38.508333,-120.79972,227,0,0,0.72,3.68,98.6,61,80.6,59,14,31,
El Dorado,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,,5646,El Dorado,38.753136,-120.7336,13,0,0,1.03,3.49,96.9,69.4,83.3,34,12,22,
Placer,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,,5646,Placer,38.887603,-121.10291,195,0,0,1.19,2.73,102.5,74.7,87.2,38,13,26,
Ventura,6/30/2016,34.701,-119.144,2016-06-30T16:55:00Z,,2304,Ventura,34.324639,-119.10488,198,0,0,0,0,75.8,55.6,65.2,100,62,82,
Tehama,6/30/2016,40.0353,-122.56939,2016-06-30T13:32:00Z,,464,Tehama,40.040006,-122.154539,222,0,0.7,1.91,2.7,105.7,65.1,83.6,86,22,45,
Ventura,7/1/2016,34.27619,-118.63264,2016-07-01T14:00:00Z,,45,Ventura,34.269031,-118.849319,217,0,2.05,4.42,6.6,80.4,55.3,67.6,95,56,74,
Kern,7/1/2016,35.20993,-118.72272,2016-07-01T14:05:00Z,,1785,Kern,35.205583,-118.77841,125,0,0.12,0.49,2.11,101.8,68.4,85.8,54,25,34,
Fresno,7/1/2016,36.0749,-120.452041,2016-07-01T17:16:00Z,,2944,Fresno,36.175833,-120.36027,205,0,0,0.44,0.79,103.9,68.4,87.8,31,11,19,
Inyo,7/1/2016,36.58972,-118.15589,2016-07-01T12:56:00Z,,30,Inyo,36.488611,-117.91944,183,0,0.1,0.12,0.42,96.6,74,85.7,39,14,25,
Tehama,7/1/2016,40.07846,-122.2071,2016-07-01T13:54:00Z,,88,Tehama,40.040006,-122.154539,222,0,0.7,1.91,2.7,96.2,66.4,81.8,83,35,54,
Calaveras,7/2/2016,38.02845,-120.61153,2016-07-02T14:55:00Z,,310,Stanislaus,37.727194,-120.85086,194,0,0,0.23,1.98,95.2,60.6,77.6,77,29,49,Keep?
Fresno,7/4/2016,36.14161,-120.62048,2016-07-04T17:15:00Z,,145,Fresno,36.175833,-120.36027,205,0,0,0.44,0.79,95.4,63.8,82.5,37,16,24,
Madera,7/4/2016,37.25601,-119.65776,2016-07-04T11:53:00Z,,103,Madera,37.02,-120.15,188,0,0,0,1.4,,,,,,,
Santa Barbara,7/8/2016,34.776,-119.643,2016-07-08T22:45:00Z,,7474,Santa Barbara,34.942525,-119.6738,88,0,0,0,1.35,92.9,52.6,74.9,74,20,36,
San Benito,7/8/2016,5487,-120.841536,2016-07-08T11:15:00Z,,95,San Benito,36.854833,-121.36275,126,0,0.08,0.08,0.61,82.6,53.5,66.1,89,38,65,
Kern,7/9/2016,34.913,118.9082,2016-07-09T12:43:00Z,,554,Kern,35.649861,-119.9593,54,0,0,0,0.34,91.2,61.4,78.5,62,24,38,
Calaveras,7/9/2016,38.08056,-120.81394,2016-07-09T12:04:00Z,,341,Stanislaus,37.727194,-120.85086,194,0,0,0,0.44,87.5,57.1,71.7,87,38,56,Keep?
Kern,7/10/2016,35.6115,-118.45628,2016-07-10T15:30:00Z,,48019,Kern,35.205583,-118.77841,125,0,0.12,0.12,1.05,85.6,66.2,76,68,22,41,
Fresno,7/11/2016,36.92244,-119.39619,2016-07-11T14:30:00Z,,188,Fresno,36.721083,-119.38903,142,0,0.03,0.04,0.43,92.4,54.2,76,72,15,31,
Shasta,7/11/2016,40.36873,-122.72913,2016-07-11T12:58:00Z,,441,Shasta,40.63,-122.31,224,0,1.62,2.33,4.09,92.7,59.4,75.8,57,9,27,
Fresno,7/12/2016,37.0099,-119.5792,2016-07-12T13:14:00Z,,123,Fresno,36.820833,-119.74231,80,0,0.08,0.08,1.02,93,60.1,78.4,62,14,30,
Calaveras,7/12/2016,37.96311,-120.67335,2016-07-12T15:19:00Z,,35,Stanislaus,37.727194,-120.85086,194,0,0,0,0.31,91.6,54.7,73.9,71,21,40,Keep?
Kern,7/13/2016,35.68313,-118.21793,2016-07-13T17:08:00Z,,221,Kern,35.205583,-118.77841,125,0,0.12,0.12,1.05,96.1,62.4,81.4,56,21,34,
Yolo,7/13/2016,38.8866,-122.04726,2016-07-13T15:52:00Z,,84,Yolo,38.691786,-122.01381,196,0,0.01,0.73,1.11,101,66.5,84.8,55,17,32,
Los Angeles,7/15/2016,34.36763,-118.57245,2016-07-15T23:55:00Z,,1109,Los Angeles,34.426361,-118.51758,204,0,0,0,0.05,91.9,62.4,76.6,65,19,37,
Kern,7/15/2016,35.60748,-118.94811,2016-07-15T16:45:00Z,,138,Kern,35.532556,-119.28179,5,0,0,0.02,0.56,97.3,63.2,82.2,79,23,40,
Ventura,7/15/2016,36.92244,-119.39619,2016-07-15T14:00:00Z,,78,Ventura,34.324639,-119.10488,198,0,0,0,0,77.4,58.7,66.8,100,61,82,
Siskiyou,7/18/2016,41.96191,-122.59328,2016-07-18T13:08:00Z,,26,Siskiyou,41.577778,-122.838125,225,0,0.1,1.28,2.13,81.3,48.2,67.8,94,27,50,
San Diego,7/19/2016,32.9612,-116.7945,2016-07-19T14:09:00Z,,100,San Diego,33.08105,-116.9757,153,0,0,0.02,0.25,91.3,56.1,72.8,99,36,67,
Calaveras,7/19/2016,37.98171,-120.64241,2016-07-19T17:16:00Z,,57,Stanislaus,37.727194,-120.85086,194,0,0,0,0.28,89.3,55.1,71.5,84,23,46,Keep?
San Diego,7/21/2016,33.393,-117.35093,2016-07-21T16:06:00Z,,1245,San Diego,33.08105,-116.9757,153,0,0,0.02,0.25,97.4,59.6,78.9,88,22,49,
Siskiyou,7/21/2016,41.71847,-122.36924,2016-07-21T15:06:00Z,,23,Siskiyou,41.802476,-121.996159,236,0,6.13,7.76,13.05,81.4,35.2,62.2,80,17,37,
Lake,7/21/2016,39.0863,-122.7891,2016-07-21T20:30:00Z,,69,Mendocino,38.982581,-123.08928,106,0,1.5,2.73,4.22,87.5,42.9,64.9,89,28,56,Keep?
Monterey,7/22/2016,35.85093,-120.81081,2016-07-22T15:15:00Z,,100,Monterey,36.121083,-121.08457,113,0,0,0.02,0.05,92.5,46.7,68.6,87,17,42,
Monterey,7/22/2016,36.45994,-121.89938,2016-07-22T08:48:00Z,,132127,Monterey,36.540889,-121.88196,210,0,0,0.01,0.35,68.9,45.5,57.8,100,61,80,
Fresno,7/22/2016,37.01591,-119.50507,2016-07-22T14:11:00Z,,2241,Fresno,36.820833,-119.74231,80,0,0,0.08,0.77,94.7,59.5,78.7,64,12,30,
Contra Costa,7/22/2016,38.01264,-122.1885,2016-07-22T14:47:00Z,,40,Contra Costa,37.931539,-122.302714,213,0,0.13,0.41,0.86,65.9,52.9,59.3,93,68,80,
Solano,7/22/2016,38.33475,-122.02564,2016-07-22T13:01:00Z,,57,Solano,38.501258,-121.97853,139,0,0,0.01,0.39,92.9,52.4,75.1,81,21,39,
El Dorado,7/22/2016,38.79549,-121.00299,2016-07-22T13:15:00Z,,50,El Dorado,38.753136,-120.7336,13,0,0,0.44,1.19,91.1,62.8,76.7,37,10,22,
San Diego,7/24/2016,33.00056,-116.9571,2016-07-24T16:30:00Z,,28,San Diego,33.08105,-116.9757,153,0,0,0.02,0.25,91.9,60.4,76.4,89,39,63,
Madera,7/29/2016,37.24006,-119.4741,2016-07-29T14:55:00Z,,38,Madera,37.02,-120.15,188,0,0,0,0,105.1,61.7,83.9,85,17,42,
Santa Clara,7/30/2016,37.41896,-121.79669,2016-07-30T17:25:00Z,,114,Santa Clara,37.015026,-121.53704,211,0,0,0,0.35,81,52.9,63.9,95,43,72,
Tuolumne,7/30/2016,37.81434,-120.69521,2016-07-30T16:25:00Z,,32,Stanislaus,37.727194,-120.85086,194,0,0,0,0.23,100.4,66.6,82.6,53,19,33,Keep?
Yolo,8/2/2016,38.52513,-122.06788,2016-08-02T16:36:00Z,,5731,Yolo,38.691786,-122.01381,196,0,0,0.01,0.95,97.6,,87.8,85,23,34,
Butte,8/2/2016,39.6708,-121.7192,2016-08-02T14:35:00Z,,550,Butte,39.608639,-121.82443,12,0,0,0.32,1.16,89.7,55,72.2,96,38,68,
Amador,8/4/2016,38.2581,-120.8657,2016-08-04T14:13:00Z,,26,Amador,38.508333,-120.79972,227,0,0,0,0.62,86.1,51.9,68.8,80,20,43,
Tehama,8/4/2016,40.19611,-122.26736,2016-08-04T15:45:00Z,,80,Tehama,40.040006,-122.154539,222,0,0,0.7,1.76,90,61.8,76.4,83,30,53,
Kern,8/5/2016,35.24504,-118.60344,2016-08-05T15:45:00Z,,100,Kern,35.205583,-118.77841,125,0,0,0.12,0.12,94.4,63.4,80,59,27,39,
Madera,8/5/2016,37.3228,-119.7738,2016-08-05T13:49:00Z,,85,Madera,37.02,-120.15,188,0,0,0,0,90.6,57.2,72.4,83,26,53,
San Bernardino,8/7/2016,34.28771,-117.27338,2016-08-07T12:18:00Z,,8110,San Bernardino,34.255942,-117.21814,192,0,0,0.06,0.33,82.2,48.6,67.8,65,13,36,
Fresno,8/9/2016,36.09974,-120.51057,2016-08-09T13:08:00Z,,7050,Fresno,36.175833,-120.36027,205,0,0,0,0.15,92,70.6,83.8,31,17,23,
Shasta,8/9/2016,40.61213,-122.47091,2016-08-09T12:14:00Z,,35,Shasta,40.63,-122.31,224,0,0,1.62,2.33,95.6,60.7,79.4,64,12,29,
Lake,8/9/2016,36.09974,-120.51057,2016-08-09T17:30:00Z,,45,Fresno,36.175833,-120.36027,205,0,0,0,0.15,92,70.6,83.8,31,17,23,Keep?
Lake,8/9/2016,38.68403,-122.26015,2016-08-09T18:50:00Z,,36,Yolo,38.691786,-122.01381,196,0,0,0.01,0.73,97.3,59.4,78.7,81,17,39,Keep?
San Diego,8/10/2016,33.22558,-117.14547,2016-08-10T09:14:00Z,,35,San Diego,33.08105,-116.9757,153,0,0,0,0.02,89.2,52.3,69.4,96,36,68,
Humboldt,8/11/2016,40.4572,-124.05804,2016-08-11T14:57:00Z,,23,Shasta,40.63,-122.31,224,0,0,1.62,2.33,102.8,57.3,81,75,10,32,Keep?
Santa Clara,8/12/2016,37.06531,-121.68577,2016-08-12T16:00:00Z,,25,Santa Clara,37.015026,-121.53704,211,0,0,0,0,83,49.7,62.9,100,49,77,
Humboldt,8/12/2016,40.9878,-123.77832,2016-08-12T17:23:00Z,,21,Siskiyou,41.577778,-122.838125,225,0,0.07,0.7,1.35,98.3,50.7,73.8,90,15,41,Keep?
San Luis Obispo,8/13/2016,35.70595,-120.98316,2016-08-13T16:03:00Z,,46344,San Luis Obispo,35.472556,-120.64814,163,0,0.12,0.17,0.55,100.2,49.5,73.1,91,15,41,
Lake,8/13/2016,38.89741,-122.60664,2016-08-13T18:03:00Z,,3929,Mendocino,38.982581,-123.08928,106,0,1.63,2.89,4.61,98.5,50.3,74.3,77,18,40,Keep?
San Bernardino,8/16/2016,34.30372,-117.49342,2016-08-16T10:44:00Z,,36274,San Bernardino,34.255942,-117.21814,192,0,0,0,0.32,83.4,43.3,69.6,67,7,16,
Kern,8/16/2016,35.7506,-118.5678,2016-08-16T16:35:00Z,,29322,Kern,35.205583,-118.77841,125,0,0,0.12,0.12,101.8,63.7,83.9,51,11,27,
Yuba,8/17/2016,36.16965,-121.38775,2016-08-17T15:19:00Z,,400,Yuba,39.252561,-121.31567,84,0,0,0,0.16,97.8,68.1,82.9,59,24,40,
Mendocino,8/18/2016,39.7299,-123.5044,2016-08-18T17:57:00Z,,50,Mendocino,38.982581,-123.08928,106,0.21,1.77,3.14,4.69,89.7,51.1,70.7,92,36,57,
Butte,8/18/2016,39.79547,-121.71662,2016-08-18T12:05:00Z,,88,Butte,39.608639,-121.82443,12,0,0,0,0.36,93.8,61.8,76.7,94,38,68,
San Joaquin,8/20/2016,37.62215,-121.36665,2016-08-20T08:35:00Z,,147,San Joaquin,37.725881,-121.47552,167,0,0,0,0,93,57,74.4,83,20,45,
Tulare,8/22/2016,36.1648,-118.73906,2016-08-22T22:00:00Z,,395,Tulare,36.082056,-119.09342,169,0,0,0,0,94.9,61.9,77.4,74,19,41,
Humboldt,8/22/2016,41.28486,-123.82268,2016-08-22T16:03:00Z,,599,Siskiyou,41.577778,-122.838125,225,0,0.06,0.16,1.31,93.8,48.5,70.1,80,14,37,Keep?
Siskiyou,8/24/2016,41.7813,-122.611,2016-08-24T14:55:00Z,,710,Siskiyou,41.577778,-122.838125,225,0,0.06,0.13,1,91.5,40.6,67.1,91,10,35,
Kern,8/26/2016,35.2013,-118.7212,2016-08-26T10:10:00Z,,518,Kern,35.205583,-118.77841,125,0,0,0,0.12,93,61.4,78.7,52,23,34,
Alpine,8/26/2016,38.57554,-120.00606,2016-08-26T15:30:00Z,,0,Alpine,38.773409,-119.79193,246,0,0.35,0.53,2.94,85.2,45.7,66.1,49,13,26,
Siskiyou,8/27/2016,41.851,-123.118,2016-08-27T18:00:00Z,,33867,Siskiyou,41.577778,-122.838125,225,0,0.07,0.13,1.01,91.7,46.1,69,84,15,38,
Kern,8/28/2016,35.4976,-118.5097,2016-08-28T18:50:00Z,,304,Kern,35.205583,-118.77841,125,0,0,0,0.12,93.8,61.6,77.9,71,30,47,
Santa Clara,8/30/2016,37.11831,-121.69784,2016-08-30T12:25:00Z,,25,Santa Clara,37.015026,-121.53704,211,0,0,0,0,87.1,51.5,70.1,93,27,54,
Mendocino,8/30/2016,39.8748511,-123.4267011,2016-08-30T16:52:00Z,,36,Mendocino,38.982581,-123.08928,106,0,1.68,3.21,3.97,86.2,54.6,69.6,82,34,54,
Calaveras,8/30/2016,38.1874,-120.6381,2016-08-30T16:54:00Z,,450,Amador,38.508333,-120.79972,227,0,0.14,0.14,0.14,87.6,55.4,71.3,66,16,38,Keep?
Lake,8/30/2016,39.1408865,-122.9148951,2016-08-30T13:35:00Z,,20,Mendocino,38.982581,-123.08928,106,0,1.68,3.21,3.97,86.2,54.6,69.6,82,34,54,Keep?
Orange,8/31/2016,33.6542,-117.5221,2016-08-31T04:10:00Z,,150,Orange,33.621667,-117.585278,245,0.02,0.28,0.51,0.59,95.4,58.8,74.4,98,33,69,
San Bernardino,9/3/2016,34.25858,-117.4415,2016-09-03T21:51:00Z,,20,San Bernardino,34.255942,-117.21814,192,0,0,0,0.17,69.5,50.9,61.4,74,26,48,
Fresno,9/3/2016,36.84479,-119.34487,2016-09-03T14:44:00Z,,158,Fresno,36.721083,-119.38903,142,0,0,0,0.03,90.5,59.3,75.3,67,10,36,
Butte,9/5/2016,39.6871,-121.571,2016-09-05T16:28:00Z,,850,Butte,39.608639,-121.82443,12,0,0,0,0.32,89.2,50,66.5,96,21,63,
San Bernardino,9/7/2016,34.3183,-117.3189,2016-09-07T16:53:00Z,,50,San Bernardino,34.255942,-117.21814,192,0,0,0,0,76.1,41.1,60.8,84,22,45,
Nevada,9/7/2016,39.39051,-120.51887,2016-09-07T15:09:00Z,,38,Yuba,39.252561,-121.31567,84,0,0,0,0.04,94,62.6,77.6,43,26,35,Keep?
Shasta,9/10/2016,40.68192,-122.4096,2016-09-10T15:45:00Z,,75,Shasta,40.63,-122.31,224,0,0,0,1.62,98.2,51.8,75.7,71,13,33,
Sacramento,9/11/2016,38.558,-121.1309,2016-09-11T11:25:00Z,,40,Sacramento,38.649964,-121.21887,131,0,0,0,0,80.9,56.4,66.1,85,41,63,
Lassen,9/11/2016,40.3915,-120.7845,2016-09-11T11:33:00Z,,2575,Lassen,40.289799,-120.433948,57,0,0,0,0.06,89.7,45.6,70.7,65,12,26,
Modoc,9/11/2016,41.4657,-120.9066,2016-09-11T14:15:00Z,,380,Modoc,41.438214,-120.48031,90,0,0.18,0.18,0.94,81.3,36.9,61.1,76,21,38,
Siskiyou,9/12/2016,41.6314,-122.7933,2016-09-12T16:28:00Z,,32,Siskiyou,41.577778,-122.838125,225,0,0.04,0.11,0.74,75.4,53.6,68.3,84,14,19,
Tehama,9/13/2016,40.30594,-122.1295,2016-09-13T23:10:00Z,,360,Tehama,40.040006,-122.154539,222,0,0,0,0.7,72.8,49.7,61.1,90,51,69,
Del Norte,9/13/2016,37.75972,-120.029626,2016-09-13T13:55:00Z,,150,Merced,37.314139,-120.3867,148,0,0,0,0,75.5,41.9,58.6,98,30,60,Keep?
Butte,9/16/2016,39.8851,-121.6998,2016-09-16T23:28:00Z,,30,Butte,39.608639,-121.82443,12,0,0,0,0.17,86.9,50.4,66.9,95,35,66,
Santa Barbara,9/17/2016,34.63445,-120.54421,2016-09-17T17:20:00Z,,12518,Santa Barbara,34.672222,-120.51306,231,0,0,0,0,68.1,54.1,59.9,95,74,86,
Inyo,9/17/2016,37.75985,-118.95309,2016-09-17T13:49:00Z,,5443,Inyo,37.358514,-118.40553,35,0,0,0.08,0.14,88.5,38.2,61.6,74,11,36,
Modoc,9/17/2016,41.2649,-120.3178,2016-09-17T14:37:00Z,,2652,Modoc,41.438214,-120.48031,90,0,0.18,0.18,0.5,82.5,32.5,58,79,16,41,
Nevada,9/17/2016,39.20427,-121.05948,2016-09-17T13:40:00Z,,47,Yuba,39.252561,-121.31567,84,0,0,0,0,92.8,63.3,77.9,42,24,33,Keep?
Sutter,9/20/2016,39.188321,-121.78003,2016-09-20T09:30:00Z,,300,Sutter,38.797944,-121.61136,235,0,0,0,0,89.2,57.8,72.1,71,24,45,
Santa Barbara,9/22/2016,34.75134,-120.55297,2016-09-22T14:20:00Z,,215,Santa Barbara,34.672222,-120.51306,231,0,0,0,0,67.7,45.9,58.3,93,54,76,
Butte,9/22/2016,39.4403,-121.42647,2016-09-22T11:45:00Z,,130,Butte,39.386632,-121.835278,244,0,0,0,0,83.8,44.9,62.7,94,30,58,
Fresno,9/23/2016,36.6543,-119.5327,2016-09-23T12:40:00Z,,70,Fresno,36.597444,-119.50404,39,0,0,0,0.01,77.2,45.7,61.6,86,27,55,
Amador,9/23/2016,38.5212,-120.8416,2016-09-23T13:12:00Z,,45,Amador,38.508333,-120.79972,227,0,4.61,4.75,4.75,76,42.6,60.8,70,19,34,
Sonoma,9/25/2016,38.80017,-122.82895,2016-09-25T10:43:00Z,,1547,Sonoma,38.52665,-122.813758,103,0,0,0,0,98,45.8,69.2,98,14,44,
Shasta,9/25/2016,40,-121.93923,2016-09-25T07:15:00Z,,100,Shasta,40.63,-122.31,224,0,0,0,0,102.5,61.7,83.4,46,8,16,
Santa Clara,9/26/2016,37.10632,-121.85318,2016-09-26T14:42:00Z,,4474,Santa Clara,37.015026,-121.53704,211,0,0.39,0.39,0.39,101.4,50.8,73.3,77,10,34,
Tuolumne,9/26/2016,37.79635,-120.32484,2016-09-26T12:20:00Z,,1080,Stanislaus,37.727194,-120.85086,194,0,0,0,0,97.2,57.5,76.8,68,19,39,Keep?
Plumas,9/26/2016,39.92,-121.32,2016-09-26T13:23:00Z,,248,Butte,39.608639,-121.82443,12,0,0,0,0,94.9,52.3,71.1,91,23,54,Keep?
Napa,10/10/2016,38.40958,-122.43172,2016-10-10T16:13:00Z,,65,Napa,38.428475,-122.41021,77,0,0.01,0.01,0.01,80.5,41.7,58.7,92,27,63,
Fresno,10/11/2016,36.94536,-119.25959,2016-10-11T12:58:00Z,,2100,Fresno,36.721083,-119.38903,142,0,0,0,0,82.4,50,66.5,74,27,44,
El Dorado,10/14/2016,38.93449,-120.10744,2016-10-14T01:28:00Z,,176,El Dorado,38.753136,-120.7336,13,0.89,1.07,1.07,1.07,56.9,52,53.7,93,59,83,
Tulare,10/20/2016,36.217,-118.551,2016-10-20T17:00:00Z,,10,Tulare,36.3605,-119.05935,86,0,0,0,0,80.7,51.2,64.5,96,37,61,
Tulare,10/29/2016,35.984,-118.551,2016-10-29T11:15:00Z,,4347,Tulare,36.082056,-119.09342,169,,0,0,0,,,,,,,
San Diego,11/13/2016,33.254355,-117.158475,2016-11-13T11:14:00Z,,28,San Diego,33.08105,-116.9757,153,0,0.1,0.58,0.58,90.3,46.1,63.8,86,24,52,
Los Angeles,11/14/2016,34.31,-118.335,2016-11-14T05:45:00Z,,4824,Los Angeles,34.256111,-118.38278,216,0,0.35,0.41,0.79,91.7,58.6,71.7,95,1,43,
Lassen,2/7/2017,40.07045,-120.14013,2017-02-07T14:00:00Z,,83733,Lassen,40.289799,-120.433948,57,0.72,6.8,10.75,11.66,54.9,40.1,48.4,81,50,64,
Mariposa,4/3/2017,37.61757,-120.21321,2017-04-03T16:00:00Z,,81826,Merced,37.314139,-120.3867,148,0,1.49,6.17,12.76,73.4,42.6,56.7,98,25,55,Keep?
Siskiyou,4/13/2017,41.841,-123.474,2017-04-13T02:30:00Z,,78698,Siskiyou,41.577778,-122.838125,225,0,2.69,5.28,10.2,53.4,30.4,40.9,100,58,83,
Kings,4/20/2017,35.93273,-120.20014,2017-04-20T15:40:00Z,,48889,Kings,35.86775,-119.8949,21,,0.48,3.52,5.99,,,,,,,
Siskiyou,4/24/2017,42.039,-123.218,2017-04-24T12:06:00Z,,39715,Siskiyou,41.577778,-122.838125,225,0.02,1.71,3.47,8.84,57.4,40,48.5,94,57,77,
Tulare,4/28/2017,36.15356,-118.74103,2017-04-28T15:40:00Z,,36556,Tulare,36.082056,-119.09342,169,0,0.61,1.1,3.11,76.7,42.4,59.1,90,17,47,
San Luis Obispo,4/29/2017,35.0179,-120.3223,2017-04-29T17:15:00Z,,28687,San Luis Obispo,35.028281,-120.56003,202,0.03,1.31,2.56,4.17,75.8,46.4,60,94,29,54,
Santa Barbara,4/30/2017,34.55096,-119.9494,2017-04-30T19:43:00Z,,18430,Santa Barbara,34.583144,-120.07924,64,0,0.21,0.73,7.3,85,36.4,60.6,89,18,50,
Siskiyou,4/30/2017,41.59,-123.501,2017-04-30T15:23:00Z,,27276,Siskiyou,41.577778,-122.838125,225,0,1.49,3.49,8.89,70.8,37.4,54.6,100,29,61,
Trinity,4/30/2017,40.76025,-123.10003,2017-04-30T16:03:00Z,,21846,Shasta,40.63,-122.31,224,0,5.86,11.45,25.17,84,42.9,64.7,95,19,47,Keep?
Lassen,5/1/2017,40.69573,-119.93499,2017-05-01T12:44:00Z,,18618,Lassen,40.289799,-120.433948,57,0,1.67,2.79,9.45,73.6,32.6,56.2,71,23,39,
Tulare,5/2/2017,36.27138,-118.48555,2017-05-02T14:32:00Z,,18900,Tulare,36.3605,-119.05935,86,0,1.17,2.04,5.19,90.8,56.9,74.7,90,32,54,
Madera,5/7/2017,37.44663,-119.64622,2017-05-07T16:41:00Z,,12407,Madera,37.02,-120.15,188,0,0.52,0.87,2.96,71.2,49.6,58.9,87,45,69,
Fresno,5/12/2017,36.12089,-120.37116,2017-05-12T15:30:00Z,,10343,Fresno,36.175833,-120.36027,205,0,0.25,0.96,1.78,71.7,51.3,59.6,79,23,50,
Trinity,5/12/2017,40.2275,-123.03583,2017-05-12T05:05:00Z,,13417,Shasta,40.63,-122.31,224,0,3.24,11.41,16.55,67.7,48.5,57.3,55,29,40,Keep?
Los Angeles,5/14/2017,34.22957,-118.2674,2017-05-14T14:00:00Z,,7194,Los Angeles,34.256111,-118.38278,216,,0,0.34,4.31,,,,,,,
