Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
Trinity,9/9/2015,40,41.46,2015-09-09T15:58:00Z,53,,35,,,,2015-09-10T18:50:00Z,,,,2015-09-09,2015,9,9
Mariposa,9/7/2015,0,0,2015-09-07T21:23:00Z,22,,415,,,,2015-09-11T11:00:00Z,,,,2015-09-07,2015,9,7
Fresno,8/23/2015,40.400196,-120.553075,2015-08-23T12:25:00Z,10,,170,,,,2015-09-11T15:00:00Z,,,,2015-08-23,2015,8,23
San Bernardino,9/9/2015,34.23,-116.883,2015-09-09T14:30:00Z,36,,55,,,,2015-09-11T19:17:00Z,,,,2015-09-09,2015,9,9
Shasta,9/11/2015,40.47512,-122.52541,2015-09-11T15:08:00Z,45,,109,,,,2015-09-13T10:15:00Z,,,,2015-09-11,2015,9,11
Tuolumne,9/9/2015,38.04684,-120.30188,2015-09-09T11:45:00Z,55,,108,,,,2015-09-15T19:10:00Z,,,,2015-09-09,2015,9,9
Kern,9/8/2015,0,0,2015-09-08T13:23:00Z,15,,45,,,,2015-09-15T19:15:00Z,,,,2015-09-08,2015,9,8
Butte,9/11/2015,39.5218,-121.3363,2015-09-11T14:15:00Z,4,,1042,,,,2015-09-17T19:30:00Z,,,,2015-09-11,2015,9,11
Monterey,9/22/2015,36.5696373,-121.7556029,2015-09-22T07:00:00Z,27,,95,,,,2015-09-21T14:36:00Z,,,,2015-09-22,2015,9,22
Nevada,9/19/2015,39.081,-121.194,2015-09-19T15:25:00Z,29,,30,,,,2015-09-21T18:20:00Z,,,,2015-09-19,2015,9,19
Monterey,9/19/2015,36.3699644,-121.589554,2015-09-19T15:00:00Z,27,,1086,,,,2015-09-27T18:15:00Z,,,,2015-09-19,2015,9,19
Butte,10/2/2015,39.8707,-121.8938,2015-10-02T14:38:00Z,4,,104,,,,2015-10-02T17:50:00Z,,,,2015-10-02,2015,10,2
Butte,10/3/2015,0,0,2015-10-03T21:15:00Z,4,,860,,,,2015-10-04T18:40:00Z,,,,2015-10-03,2015,10,3
Siskiyou,10/10/2015,0,0,2015-10-10T12:00:00Z,47,,58,,,,2015-10-10T18:45:00Z,,,,2015-10-10,2015,10,10
San Benito,10/12/2015,36.70854,-121.32734,2015-10-12T16:00:00Z,35,,670,,,,2015-10-16T18:00:00Z,,,,2015-10-12,2015,10,12
Ventura,11/7/2015,34.15,-118.879444,2015-11-07T01:45:00Z,56,,50,,,,2015-11-07T16:45:00Z,,,,2015-11-07,2015,11,7
Fresno,7/31/2015,36.874,-118.905,2015-07-31T19:00:00Z,10,,151623,,,,2015-11-09T12:00:00Z,,,,2015-07-31,2015,7,31
Del Norte,8/1/2015,0,0,2015-08-01T23:23:00Z,8,,7509,,,,2015-11-09T12:00:00Z,,,,2015-08-01,2015,8,1
Santa Barbara,10/29/2015,34.4828,-119.63216,2015-10-29T05:30:00Z,42,,21,,,,2015-11-09T12:00:00Z,,,,2015-10-29,2015,10,29
Ventura,11/11/2015,0,0,2015-11-11T17:40:00Z,56,,29,,,,2015-11-12T18:00:00Z,,,,2015-11-11,2015,11,11
Los Angeles,4/19/2016,34.6888731,-118.7892593,2016-04-19T13:09:00Z,19,,0,,,,2016-04-19T15:30:00Z,,,,2016-04-19,2016,4,19
Merced,4/24/2016,37.2171,-121.08036,2016-04-24T11:10:00Z,24,,30,,,,2016-04-24T15:30:00Z,,,,2016-04-24,2016,4,24
Fresno,4/28/2016,0,0,2016-04-28T17:45:00Z,10,,151,,,,2016-04-29T17:15:00Z,,,,2016-04-28,2016,4,28
Ventura,4/28/2016,0,0,2016-04-28T19:00:00Z,56,,50,,,,2016-04-30T07:00:00Z,,,,2016-04-28,2016,4,28
San Luis Obispo,5/10/2016,35.61961,-120.39993,2016-05-10T16:11:00Z,40,,150,,,,2016-05-10T18:45:00Z,,,,2016-05-10,2016,5,10
Monterey,5/12/2016,35.8378273,-121.0381507,2016-05-12T14:13:00Z,27,,25,,,,2016-05-12T20:45:00Z,,,,2016-05-12,2016,5,12
Ventura,5/12/2016,0,0,2016-05-12T14:13:00Z,56,,20,,,,2016-05-13T22:30:00Z,,,,2016-05-12,2016,5,12
Fresno,5/15/2016,36.78769,-119.38248,2016-05-15T16:38:00Z,10,,132,,,,2016-05-17T19:10:00Z,,,,2016-05-15,2016,5,15
Placer,5/17/2016,38.8390117,-121.3090268,2016-05-17T15:06:00Z,31,,169,,,,2016-05-19T18:00:00Z,,,,2016-05-17,2016,5,17
San Luis Obispo,5/18/2016,0,0,2016-05-18T14:27:00Z,40,,3712,,,,2016-05-20T18:00:00Z,,,,2016-05-18,2016,5,18
Siskiyou,5/19/2016,0,0,2016-05-19T15:37:00Z,47,,56,,,,2016-05-21T19:00:00Z,,,,2016-05-19,2016,5,19
Monterey,5/25/2016,36.38123,-121.20059,2016-05-25T01:03:00Z,27,,3876,,,,2016-05-25T08:00:00Z,,,,2016-05-25,2016,5,25
Fresno,5/22/2016,36.88286,-119.654,2016-05-22T15:27:00Z,10,,278,,,,2016-05-25T18:15:00Z,,,,2016-05-22,2016,5,22
Los Angeles,5/23/2016,34.276,-118.354,2016-05-23T14:15:00Z,19,,156,,,,2016-05-25T18:45:00Z,,,,2016-05-23,2016,5,23
Shasta,5/25/2016,0,0,2016-05-25T16:51:00Z,45,,11,,,,2016-05-25T20:00:00Z,,,,2016-05-25,2016,5,25
Butte,5/27/2016,39.33035,-121.78973,2016-05-27T13:43:00Z,4,,91,,,,2016-05-27T17:00:00Z,,,,2016-05-27,2016,5,27
Butte,5/29/2016,39.624017,-121.595093,2016-05-29T16:51:00Z,4,,30,,,,2016-05-29T19:53:00Z,,,,2016-05-29,2016,5,29
Tuolumne,5/30/2016,37.927613,-120.528836,2016-05-30T15:10:00Z,55,,85,,,,2016-06-01T19:45:00Z,,,,2016-05-30,2016,5,30
Sacramento,6/3/2016,38.3131,-121.06452,2016-06-03T17:39:00Z,34,,32,,,,2016-06-03T17:30:00Z,,,,2016-06-03,2016,6,3
San Benito,6/3/2016,36.80296,-121.40304,2016-06-03T16:57:00Z,35,,30,,,,2016-06-03T19:55:00Z,,,,2016-06-03,2016,6,3
Kern,6/3/2016,0,0,2016-06-03T12:41:00Z,15,,43,,,,2016-06-04T15:30:00Z,,,,2016-06-03,2016,6,3
El Dorado,5/30/2016,38.64107,-120.6955,2016-05-30T17:57:00Z,9,,25,,,,2016-06-04T17:00:00Z,,,,2016-05-30,2016,5,30
Riverside,5/31/2016,33.476894,-117.140883,2016-05-31T13:48:00Z,33,,139,,,,2016-06-07T06:45:00Z,,,,2016-05-31,2016,5,31
San Diego,6/4/2016,33.41639,-117.08829,2016-06-04T11:40:00Z,37,,70,,,,2016-06-07T18:15:00Z,,,,2016-06-04,2016,6,4
Stanislaus,6/7/2016,37.17072,-121.42238,2016-06-07T16:30:00Z,50,,120,,,,2016-06-09T17:10:00Z,,,,2016-06-07,2016,6,7
Tehama,6/11/2016,39.7947,-121.857,2016-06-11T14:30:00Z,52,,80,,,,2016-06-11T16:15:00Z,,,,2016-06-11,2016,6,11
San Benito,6/11/2016,36.49914,-121.04993,2016-06-11T15:04:00Z,35,,83,,,,2016-06-12T12:30:00Z,,,,2016-06-11,2016,6,11
Kern,6/11/2016,35.77135,-120.251,2016-06-11T16:02:00Z,15,,61,,,,2016-06-12T15:00:00Z,,,,2016-06-11,2016,6,11
Shasta,6/12/2016,40.61388,-122.46777,2016-06-12T12:45:00Z,45,,24,,,,2016-06-12T15:45:00Z,,,,2016-06-12,2016,6,12
Los Angeles,6/4/2016,0,0,2016-06-04T16:09:00Z,19,,0,,,,2016-06-13T12:30:00Z,,,,2016-06-04,2016,6,4
Calaveras,6/15/2016,0,0,2016-06-15T12:46:00Z,5,,83,,,,2016-06-16T10:00:00Z,,,,2016-06-15,2016,6,15
San Luis Obispo,6/4/2016,35.01382,-119.58206,2016-06-04T17:46:00Z,40,,0,,,,2016-06-19T08:30:00Z,,,,2016-06-04,2016,6,4
Tulare,6/1/2016,35.84883,-118.08591,2016-06-01T15:35:00Z,54,,0,,,,2016-06-19T18:00:00Z,,,,2016-06-01,2016,6,1
Monterey,6/17/2016,36.01542,-121.25029,2016-06-17T14:30:00Z,27,,2520,,,,2016-06-20T06:00:00Z,,,,2016-06-17,2016,6,17
San Benito,6/4/2016,0,0,2016-06-04T14:33:00Z,35,,237,,,,2016-06-20T08:30:00Z,,,,2016-06-04,2016,6,4
Butte,6/18/2016,39.595,-121.6008,2016-06-18T16:47:00Z,4,,112,,,,2016-06-20T18:15:00Z,,,,2016-06-18,2016,6,18
Monterey,6/20/2016,36.2833,-121.3306,2016-06-20T16:38:00Z,27,,70,,,,2016-06-20T19:50:00Z,,,,2016-06-20,2016,6,20
Amador,6/21/2016,38.26874,-120.90265,2016-06-21T10:26:00Z,3,,210,,,,2016-06-21T13:00:00Z,,,,2016-06-21,2016,6,21
Placer,6/21/2016,38.86804,-121.37704,2016-06-21T12:24:00Z,31,,88,,,,2016-06-21T15:45:00Z,,,,2016-06-21,2016,6,21
Butte,6/21/2016,39.43351,-121.6051,2016-06-21T15:09:00Z,4,,49,,,,2016-06-21T16:30:00Z,,,,2016-06-21,2016,6,21
Tehama,6/17/2016,39.93965,-122.40142,2016-06-17T14:54:00Z,52,,43,,,,2016-06-21T18:30:00Z,,,,2016-06-17,2016,6,17
Monterey,6/23/2016,36.1934,-120.9293,2016-06-23T17:57:00Z,27,,52,,,,2016-06-24T18:20:00Z,,,,2016-06-23,2016,6,23
Merced,6/25/2016,37.07147,-121.20155,2016-06-25T16:11:00Z,24,,1246,,,,2016-06-26T07:00:00Z,,,,2016-06-25,2016,6,25
Alameda,6/25/2016,37.74369,-121.58677,2016-06-25T23:45:00Z,1,,211,,,,2016-06-26T18:50:00Z,,,,2016-06-25,2016,6,25
Yolo,6/26/2016,38.69971,-122.15457,2016-06-26T15:45:00Z,57,,277,,,,2016-06-27T06:15:00Z,,,,2016-06-26,2016,6,26
Lake,6/26/2016,39.12366,-122.50373,2016-06-26T16:00:00Z,17,,215,,,,2016-06-28T20:00:00Z,,,,2016-06-26,2016,6,26
Amador,6/28/2016,38.385,-121.003611,2016-06-28T19:02:00Z,3,,372,,,,2016-06-29T07:30:00Z,,,,2016-06-28,2016,6,28
San Luis Obispo,6/27/2016,35.70821,-120.82266,2016-06-27T12:07:00Z,40,,86,,,,2016-06-29T17:00:00Z,,,,2016-06-27,2016,6,27
Orange,6/26/2016,33.57872,-117.77395,2016-06-26T13:10:00Z,30,,47,,,,2016-06-29T18:30:00Z,,,,2016-06-26,2016,6,26
San Diego,6/27/2016,32.60729,-116.63028,2016-06-27T18:00:00Z,37,,7609,,,,2016-06-30T07:00:00Z,,,,2016-06-27,2016,6,27
Ventura,6/30/2016,34.701,-119.144,2016-06-30T16:55:00Z,56,,2304,,,,2016-06-30T16:55:00Z,,,,2016-06-30,2016,6,30
Calaveras,6/19/2016,38.22017,-120.8678,2016-06-19T11:03:00Z,5,,33,,,,2016-06-30T18:30:00Z,,,,2016-06-19,2016,6,19
Tehama,7/1/2016,40.07846,-122.2071,2016-07-01T13:54:00Z,52,,88,,,,2016-07-01T17:45:00Z,,,,2016-07-01,2016,7,1
Ventura,7/1/2016,34.27619,-118.63264,2016-07-01T14:00:00Z,56,,45,,,,2016-07-01T19:50:00Z,,,,2016-07-01,2016,7,1
Inyo,7/1/2016,36.58972,-118.15589,2016-07-01T12:56:00Z,14,,30,,,,2016-07-02T20:00:00Z,,,,2016-07-01,2016,7,1
Tehama,6/30/2016,40.0353,-122.56939,2016-06-30T13:32:00Z,52,,464,,,,2016-07-04T07:45:00Z,,,,2016-06-30,2016,6,30
Fresno,7/1/2016,36.0749,-120.452041,2016-07-01T17:16:00Z,10,,2944,,,,2016-07-05T07:05:00Z,,,,2016-07-01,2016,7,1
Madera,7/4/2016,37.25601,-119.65776,2016-07-04T11:53:00Z,20,,103,,,,2016-07-06T20:00:00Z,,,,2016-07-04,2016,7,4
Fresno,7/4/2016,36.14161,-120.62048,2016-07-04T17:15:00Z,10,,145,,,,2016-07-07T19:00:00Z,,,,2016-07-04,2016,7,4
Kern,7/1/2016,35.20993,-118.72272,2016-07-01T14:05:00Z,15,,1785,,,,2016-07-08T19:00:00Z,,,,2016-07-01,2016,7,1
Calaveras,7/2/2016,38.02845,-120.61153,2016-07-02T14:55:00Z,5,,310,,,,2016-07-08T19:32:00Z,,,,2016-07-02,2016,7,2
Mono,6/25/2016,37.97,-119.14,2016-06-25T06:30:00Z,26,,650,,,,2016-07-09T08:30:00Z,,,,2016-06-25,2016,6,25
Kern,7/9/2016,34.913,118.9082,2016-07-09T12:43:00Z,15,,554,,,,2016-07-10T19:30:00Z,,,,2016-07-09,2016,7,9
San Benito,7/8/2016,5487,-120.841536,2016-07-08T11:15:00Z,35,,95,,,,2016-07-10T19:37:00Z,,,,2016-07-08,2016,7,8
Kern,7/10/2016,35.6115,-118.45628,2016-07-10T15:30:00Z,15,,48019,,,,2016-07-11T06:35:00Z,,,,2016-07-10,2016,7,10
Sacramento,6/23/2016,38.517772,-121.103642,2016-06-23T15:51:00Z,34,,87,,,,2016-07-11T09:40:00Z,,,,2016-06-23,2016,6,23
Santa Barbara,7/8/2016,34.776,-119.643,2016-07-08T22:45:00Z,42,,7474,,,,2016-07-12T07:00:00Z,,,,2016-07-08,2016,7,8
Shasta,7/11/2016,40.36873,-122.72913,2016-07-11T12:58:00Z,45,,441,,,,2016-07-12T10:30:00Z,,,,2016-07-11,2016,7,11
Ventura,6/15/2016,33.11645,-116.58542,2016-06-15T15:21:00Z,56,,15,,,,2016-07-12T14:30:00Z,,,,2016-06-15,2016,6,15
Fresno,7/11/2016,36.92244,-119.39619,2016-07-11T14:30:00Z,10,,188,,,,2016-07-13T17:30:00Z,,,,2016-07-11,2016,7,11
Calaveras,7/12/2016,37.96311,-120.67335,2016-07-12T15:19:00Z,5,,35,,,,2016-07-13T19:00:00Z,,,,2016-07-12,2016,7,12
Kern,7/13/2016,35.68313,-118.21793,2016-07-13T17:08:00Z,15,,221,,,,2016-07-14T12:00:00Z,,,,2016-07-13,2016,7,13
Riverside,7/12/2016,0,0,2016-07-12T15:20:00Z,33,,173,,,,2016-07-15T08:00:00Z,,,,2016-07-12,2016,7,12
Yolo,7/13/2016,38.8866,-122.04726,2016-07-13T15:52:00Z,57,,84,,,,2016-07-15T14:00:00Z,,,,2016-07-13,2016,7,13
Ventura,7/15/2016,36.92244,-119.39619,2016-07-15T14:00:00Z,56,,78,,,,2016-07-15T15:40:00Z,,,,2016-07-15,2016,7,15
Los Angeles,7/15/2016,34.36763,-118.57245,2016-07-15T23:55:00Z,19,,1109,,,,2016-07-16T07:40:00Z,,,,2016-07-15,2016,7,15
Calaveras,7/9/2016,38.08056,-120.81394,2016-07-09T12:04:00Z,5,,341,,,,2016-07-16T12:00:00Z,,,,2016-07-09,2016,7,9
Kern,7/15/2016,35.60748,-118.94811,2016-07-15T16:45:00Z,15,,138,,,,2016-07-16T18:00:00Z,,,,2016-07-15,2016,7,15
Fresno,7/12/2016,37.0099,-119.5792,2016-07-12T13:14:00Z,10,,123,,,,2016-07-16T18:30:00Z,,,,2016-07-12,2016,7,12
El Dorado,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,"9,31",,5646,,,,2016-07-18T09:50:00Z,,,,2016-06-28,2016,6,28
Placer,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,"9,31",,5646,,,,2016-07-18T09:50:00Z,,,,2016-06-28,2016,6,28
San Diego,7/19/2016,32.9612,-116.7945,2016-07-19T14:09:00Z,37,,100,,,,2016-07-20T09:00:00Z,,,,2016-07-19,2016,7,19
Siskiyou,7/18/2016,41.96191,-122.59328,2016-07-18T13:08:00Z,47,,26,,,,2016-07-20T13:45:00Z,,,,2016-07-18,2016,7,18
Lake,7/21/2016,39.0863,-122.7891,2016-07-21T20:30:00Z,17,,69,,,,2016-07-22T12:00:00Z,,,,2016-07-21,2016,7,21
Solano,7/22/2016,38.33475,-122.02564,2016-07-22T13:01:00Z,48,,57,,,,2016-07-22T16:07:00Z,,,,2016-07-22,2016,7,22
Calaveras,7/19/2016,37.98171,-120.64241,2016-07-19T17:16:00Z,5,,57,,,,2016-07-22T18:15:00Z,,,,2016-07-19,2016,7,19
Siskiyou,7/21/2016,41.71847,-122.36924,2016-07-21T15:06:00Z,47,,23,,,,2016-07-22T19:00:00Z,,,,2016-07-21,2016,7,21
Monterey,7/22/2016,35.85093,-120.81081,2016-07-22T15:15:00Z,27,,100,,,,2016-07-23T08:45:00Z,,,,2016-07-22,2016,7,22
El Dorado,7/22/2016,38.79549,-121.00299,2016-07-22T13:15:00Z,9,,50,,,,2016-07-23T18:00:00Z,,,,2016-07-22,2016,7,22
Contra Costa,7/22/2016,38.01264,-122.1885,2016-07-22T14:47:00Z,7,,40,,,,2016-07-24T14:30:00Z,,,,2016-07-22,2016,7,22
San Diego,7/24/2016,33.00056,-116.9571,2016-07-24T16:30:00Z,37,,28,,,,2016-07-24T19:00:00Z,,,,2016-07-24,2016,7,24
Madera,7/21/2016,0,0,2016-07-21T12:53:00Z,20,,80,,,,2016-07-25T19:20:00Z,,,,2016-07-21,2016,7,21
Tehama,7/25/2016,0,0,2016-07-25T16:55:00Z,52,,11,,,,2016-07-26T19:25:00Z,,,,2016-07-25,2016,7,25
Butte,7/28/2016,0,0,2016-07-28T14:27:00Z,4,,35,,,,2016-07-29T15:10:00Z,,,,2016-07-28,2016,7,28
San Diego,7/21/2016,33.393,-117.35093,2016-07-21T16:06:00Z,37,,1245,,,,2016-07-30T14:15:00Z,,,,2016-07-21,2016,7,21
Santa Clara,7/30/2016,37.41896,-121.79669,2016-07-30T17:25:00Z,43,,114,,,,2016-07-31T18:30:00Z,,,,2016-07-30,2016,7,30
Madera,7/29/2016,37.24006,-119.4741,2016-07-29T14:55:00Z,20,,38,,,,2016-07-31T18:50:00Z,,,,2016-07-29,2016,7,29
Lake,7/29/2016,0,0,2016-07-29T17:55:00Z,17,,25,,,,2016-07-31T18:55:00Z,,,,2016-07-29,2016,7,29
Lassen,7/30/2016,0,0,2016-07-30T17:25:00Z,18,,42,,,,2016-08-01T08:05:00Z,,,,2016-07-30,2016,7,30
Tuolumne,7/30/2016,37.81434,-120.69521,2016-07-30T16:25:00Z,55,,32,,,,2016-08-01T19:40:00Z,,,,2016-07-30,2016,7,30
Butte,8/2/2016,39.6708,-121.7192,2016-08-02T14:35:00Z,4,,550,,,,2016-08-03T08:00:00Z,,,,2016-08-02,2016,8,2
Stanislaus,8/3/2016,0,0,2016-08-03T16:08:00Z,50,,140,,,,2016-08-04T07:45:00Z,,,,2016-08-03,2016,8,3
Stanislaus,8/3/2016,0,0,2016-08-03T17:27:00Z,50,,100,,,,2016-08-04T07:50:00Z,,,,2016-08-03,2016,8,3
Tehama,8/4/2016,40.19611,-122.26736,2016-08-04T15:45:00Z,52,,80,,,,2016-08-04T20:00:00Z,,,,2016-08-04,2016,8,4
Madera,8/5/2016,37.3228,-119.7738,2016-08-05T13:49:00Z,20,,85,,,,2016-08-06T10:06:00Z,,,,2016-08-05,2016,8,5
Amador,8/4/2016,38.2581,-120.8657,2016-08-04T14:13:00Z,3,,26,,,,2016-08-06T19:50:00Z,,,,2016-08-04,2016,8,4
Mono,8/4/2016,0,0,2016-08-04T14:09:00Z,26,,2819,,,,2016-08-07T19:14:00Z,,,,2016-08-04,2016,8,4
Mono,8/6/2016,0,0,2016-08-06T15:00:00Z,26,,122,,,,2016-08-07T19:18:00Z,,,,2016-08-06,2016,8,6
Kern,8/5/2016,35.24504,-118.60344,2016-08-05T15:45:00Z,15,,100,,,,2016-08-07T19:33:00Z,,,,2016-08-05,2016,8,5
El Dorado,8/4/2016,0,0,2016-08-04T17:10:00Z,9,,25,,,,2016-08-07T20:15:00Z,,,,2016-08-04,2016,8,4
Fresno,7/22/2016,37.01591,-119.50507,2016-07-22T14:11:00Z,10,,2241,,,,2016-08-09T17:15:00Z,,,,2016-07-22,2016,7,22
Los Angeles,7/30/2016,0,0,2016-07-30T16:40:00Z,19,,0,,,,2016-08-09T18:30:00Z,,,,2016-07-30,2016,7,30
Lake,8/9/2016,36.09974,-120.51057,2016-08-09T17:30:00Z,17,,45,,,,2016-08-10T17:00:00Z,,,,2016-08-09,2016,8,9
Lake,8/9/2016,38.68403,-122.26015,2016-08-09T18:50:00Z,17,,36,,,,2016-08-10T17:00:00Z,,,,2016-08-09,2016,8,9
Shasta,8/9/2016,40.61213,-122.47091,2016-08-09T12:14:00Z,45,,35,,,,2016-08-10T17:00:00Z,,,,2016-08-09,2016,8,9
San Diego,8/10/2016,33.22558,-117.14547,2016-08-10T09:14:00Z,37,,35,,,,2016-08-11T18:30:00Z,,,,2016-08-10,2016,8,10
Yolo,8/2/2016,38.52513,-122.06788,2016-08-02T16:36:00Z,57,,5731,,,,2016-08-12T15:00:00Z,,,,2016-08-02,2016,8,2
Santa Clara,8/12/2016,37.06531,-121.68577,2016-08-12T16:00:00Z,43,,25,,,,2016-08-14T19:50:00Z,,,,2016-08-12,2016,8,12
San Bernardino,8/7/2016,34.28771,-117.27338,2016-08-07T12:18:00Z,36,,8110,,,,2016-08-16T08:00:00Z,,,,2016-08-07,2016,8,7
Humboldt,8/11/2016,40.4572,-124.05804,2016-08-11T14:57:00Z,12,,23,,,,2016-08-16T08:45:00Z,,,,2016-08-11,2016,8,11
Fresno,8/9/2016,36.09974,-120.51057,2016-08-09T13:08:00Z,10,,7050,,,,2016-08-18T19:00:00Z,,,,2016-08-09,2016,8,9
Yuba,8/17/2016,36.16965,-121.38775,2016-08-17T15:19:00Z,58,,400,,,,2016-08-18T19:50:00Z,,,,2016-08-17,2016,8,17
Santa Clara,8/18/2016,0,0,2016-08-18T15:35:00Z,43,,100,,,,2016-08-18T21:30:00Z,,,,2016-08-18,2016,8,18
Humboldt,8/12/2016,40.9878,-123.77832,2016-08-12T17:23:00Z,12,,21,,,,2016-08-19T08:30:00Z,,,,2016-08-12,2016,8,12
San Joaquin,8/20/2016,37.62215,-121.36665,2016-08-20T08:35:00Z,39,,147,,,,2016-08-20T18:45:00Z,,,,2016-08-20,2016,8,20
San Bernardino,8/16/2016,34.30372,-117.49342,2016-08-16T10:44:00Z,36,,36274,,,,2016-08-23T07:45:00Z,,,,2016-08-16,2016,8,16
Lake,8/13/2016,38.89741,-122.60664,2016-08-13T18:03:00Z,17,,3929,,,,2016-08-26T18:00:00Z,,,,2016-08-13,2016,8,13
Siskiyou,8/27/2016,41.851,-123.118,2016-08-27T18:00:00Z,47,,33867,,,,2016-08-28T18:15:00Z,,,,2016-08-27,2016,8,27
Kern,8/28/2016,35.4976,-118.5097,2016-08-28T18:50:00Z,15,,304,,,,2016-08-28T18:50:00Z,,,,2016-08-28,2016,8,28
Kern,8/26/2016,35.2013,-118.7212,2016-08-26T10:10:00Z,15,,518,,,,2016-08-29T10:30:00Z,,,,2016-08-26,2016,8,26
Riverside,8/28/2016,0,0,2016-08-28T15:23:00Z,33,,40,,,,2016-08-29T15:00:00Z,,,,2016-08-28,2016,8,28
Siskiyou,8/24/2016,41.7813,-122.611,2016-08-24T14:55:00Z,47,,710,,,,2016-08-30T06:45:00Z,,,,2016-08-24,2016,8,24
Butte,8/18/2016,39.79547,-121.71662,2016-08-18T12:05:00Z,4,,88,,,,2016-08-30T12:05:00Z,,,,2016-08-18,2016,8,18
Alpine,8/26/2016,38.57554,-120.00606,2016-08-26T15:30:00Z,2,,0,,,,2016-08-30T18:40:00Z,,,,2016-08-26,2016,8,26
Calaveras,8/30/2016,38.1874,-120.6381,2016-08-30T16:54:00Z,5,,450,,,,2016-08-31T07:05:00Z,,,,2016-08-30,2016,8,30
Mendocino,8/30/2016,39.8748511,-123.4267011,2016-08-30T16:52:00Z,23,,36,,,,2016-08-31T07:05:00Z,,,,2016-08-30,2016,8,30
Lake,8/30/2016,39.1408865,-122.9148951,2016-08-30T13:35:00Z,17,,20,,,,2016-08-31T07:15:00Z,,,,2016-08-30,2016,8,30
Amador,8/28/2016,0,0,2016-08-28T13:07:00Z,3,,19,,,,2016-08-31T18:50:00Z,,,,2016-08-28,2016,8,28
Riverside,9/1/2016,0,0,2016-09-01T14:36:00Z,33,,1470,,,,2016-09-02T06:55:00Z,,,,2016-09-01,2016,9,1
Santa Clara,8/30/2016,37.11831,-121.69784,2016-08-30T12:25:00Z,43,,25,,,,2016-09-02T18:10:00Z,,,,2016-08-30,2016,8,30
Humboldt,8/22/2016,41.28486,-123.82268,2016-08-22T16:03:00Z,12,,599,,,,2016-09-04T06:55:00Z,,,,2016-08-22,2016,8,22
San Bernardino,9/3/2016,34.25858,-117.4415,2016-09-03T21:51:00Z,36,,20,,,,2016-09-04T18:55:00Z,,,,2016-09-03,2016,9,3
Orange,8/31/2016,33.6542,-117.5221,2016-08-31T04:10:00Z,30,,150,,,,2016-09-05T06:55:00Z,,,,2016-08-31,2016,8,31
San Luis Obispo,8/13/2016,35.70595,-120.98316,2016-08-13T16:03:00Z,40,,46344,,,,2016-09-06T07:30:00Z,,,,2016-08-13,2016,8,13
Fresno,9/3/2016,36.84479,-119.34487,2016-09-03T14:44:00Z,10,,158,,,,2016-09-06T18:15:00Z,,,,2016-09-03,2016,9,3
San Bernardino,9/7/2016,34.3183,-117.3189,2016-09-07T16:53:00Z,36,,50,,,,2016-09-09T06:00:00Z,,,,2016-09-07,2016,9,7
Butte,9/5/2016,39.6871,-121.571,2016-09-05T16:28:00Z,4,,850,,,,2016-09-12T14:51:00Z,,,,2016-09-05,2016,9,5
Shasta,9/10/2016,40.68192,-122.4096,2016-09-10T15:45:00Z,45,,75,,,,2016-09-12T19:00:00Z,,,,2016-09-10,2016,9,10
Sacramento,9/11/2016,38.558,-121.1309,2016-09-11T11:25:00Z,34,,40,,,,2016-09-12T19:00:00Z,,,,2016-09-11,2016,9,11
Tehama,9/13/2016,40.30594,-122.1295,2016-09-13T23:10:00Z,52,,360,,,,2016-09-13T14:30:00Z,,,,2016-09-13,2016,9,13
Siskiyou,9/12/2016,41.6314,-122.7933,2016-09-12T16:28:00Z,47,,32,,,,2016-09-13T18:30:00Z,,,,2016-09-12,2016,9,12
Modoc,9/11/2016,41.4657,-120.9066,2016-09-11T14:15:00Z,25,,380,,,,2016-09-14T18:00:00Z,,,,2016-09-11,2016,9,11
Santa Barbara,9/10/2016,0,0,2016-09-10T14:06:00Z,42,,32606,,,,2016-09-15T09:10:00Z,,,,2016-09-10,2016,9,10
Mendocino,8/18/2016,39.7299,-123.5044,2016-08-18T17:57:00Z,23,,50,,,,2016-09-15T15:20:00Z,,,,2016-08-18,2016,8,18
Del Norte,9/13/2016,37.75972,-120.029626,2016-09-13T13:55:00Z,8,,150,,,,2016-09-17T18:00:00Z,,,,2016-09-13,2016,9,13
Inyo,9/17/2016,37.75985,-118.95309,2016-09-17T13:49:00Z,14,,5443,,,,2016-09-18T08:10:00Z,,,,2016-09-17,2016,9,17
Butte,9/16/2016,39.8851,-121.6998,2016-09-16T23:28:00Z,4,,30,,,,2016-09-19T18:30:00Z,,,,2016-09-16,2016,9,16
Sutter,9/20/2016,39.188321,-121.78003,2016-09-20T09:30:00Z,51,,300,,,,2016-09-20T18:00:00Z,,,,2016-09-20,2016,9,20
Nevada,9/17/2016,39.20427,-121.05948,2016-09-17T13:40:00Z,29,,47,,,,2016-09-20T18:00:00Z,,,,2016-09-17,2016,9,17
Kern,9/19/2016,0,0,2016-09-19T14:13:00Z,15,,306,,,,2016-09-21T09:30:00Z,,,,2016-09-19,2016,9,19
