Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,Extinguished,,,,,,,
San Luis Obispo,5/19/2013,35.49864,-120.91375,2013-05-19T15:07:00Z,40,,35,,,,2013-05-20T19:10:00Z,,,,2013-05-19,2013,5,19
Riverside,5/20/2013,33.96201,-116.907213,2013-05-20T15:45:00Z,33,,25,,,,2013-05-20T19:10:00Z,,,,2013-05-20,2013,5,20
Kern,5/21/2013,34.7861,-118.9411,2013-05-21T14:16:00Z,"15,56",,4346,,,,2013-05-21T19:30:00Z,,,,2013-05-21,2013,5,21
Ventura,5/15/2013,34.7861,-118.9411,2013-05-15T12:50:00Z,"15,56",,4346,,,,2013-05-21T19:45:00Z,,,,2013-05-15,2013,5,15
Riverside,5/15/2013,33.9582,-116.6534,2013-05-15T12:50:00Z,33,,90,,,,2013-05-21T19:45:00Z,,,,2013-05-15,2013,5,15
Butte,5/22/2013,0,0,2013-05-22T00:56:00Z,4,,150,,,,2013-05-22T09:30:00Z,,,,2013-05-22,2013,5,22
San Diego,5/22/2013,32.564465,-116.900368,2013-05-22T16:14:00Z,37,,100,,,,2013-05-23T08:30:00Z,,,,2013-05-22,2013,5,22
Riverside,5/25/2013,33.963591,-117.187934,2013-05-25T17:35:00Z,33,,124,,,,2013-05-25T18:45:00Z,,,,2013-05-25,2013,5,25
San Luis Obispo,5/25/2013,35.5123,-120.6368,2013-05-25T14:59:00Z,40,,50,,,,2013-05-25T23:00:00Z,,,,2013-05-25,2013,5,25
San Diego,5/23/2013,33.12111,-116.52579,2013-05-23T12:20:00Z,37,,2781,,,,2013-05-26T17:45:00Z,,,,2013-05-23,2013,5,23
Santa Barbara,5/28/2013,34.611824,-120.074655,2013-05-28T15:24:00Z,42,,170,,,,2013-05-29T10:30:00Z,,,,2013-05-28,2013,5,28
Los Angeles,5/28/2013,34.419284,-118.58688,2013-05-28T11:30:00Z,19,,149,,,,2013-05-29T15:30:00Z,,,,2013-05-28,2013,5,28
Santa Barbara,5/30/2013,34.55048,-119.82429,2013-05-30T11:20:00Z,42,,1984,,,,2013-05-30T13:25:00Z,,,,2013-05-30,2013,5,30
San Joaquin,5/27/2013,38.04993,-120.90325,2013-05-27T14:45:00Z,39,,303,,,,2013-05-30T19:30:00Z,,,,2013-05-27,2013,5,27
San Diego,5/26/2013,33.04458,-116.5209,2013-05-26T12:04:00Z,37,,1271,,,,2013-05-31T06:15:00Z,,,,2013-05-26,2013,5,26
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T13:30:00Z,55,,100,,,,2013-06-02T16:55:00Z,,,,2013-06-02,2013,6,2
San Luis Obispo,6/1/2013,35.15832,-120.05131,2013-06-01T17:27:00Z,40,,500,,,,2013-06-03T18:30:00Z,,,,2013-06-01,2013,6,1
Butte,6/3/2013,39.434183,-121.576804,2013-06-03T13:49:00Z,4,,298,,,,2013-06-03T20:00:00Z,,,,2013-06-03,2013,6,3
Merced,6/4/2013,37.03776,-121.006939,2013-06-04T15:42:00Z,24,,124,,,,2013-06-05T08:30:00Z,,,,2013-06-04,2013,6,4
Lake,6/5/2013,38.99233,-122.703193,2013-06-05T16:05:00Z,17,,30,,,,2013-06-06T07:00:00Z,,,,2013-06-05,2013,6,5
