242,38.192397,-121.510261,San Joaquin
243,38.249622,-121.555528,Sacramento
244,39.386632,-121.835278,Butte
245,33.621667,-117.585278,Orange
246,38.773409,-119.791930,Alpine
247,38.033386,-121.701247,Contra Costa
248,37.932072,-121.396661,San Joaquin
249,37.755597,-121.266153,San Joaquin
250,39.210667,-122.168889,Colusa
251,34.112042,-117.1857,San Bernardino
252,36.456728,-121.344388,Monterey
253,37.255333,-122.3708,San Mateo
254,37.718167,-122.197111,Alameda
255,33.985350,-117.656528,San Bernardino
256,34.759475,-117.991997,Los Angeles
257,35.659128,-117.636925,Kern
258,36.376917,-119.037972,Tulare
259,40.604467,-124.243186,Humboldt
260,41.798331,-122.463425,Siskiyou
261,41.533989,-122.532279,Siskiyou
262,38.065692,-121.071747,San Joaquin
263,41.894592,-124.165043,Del Norte
264,39.777452,-120.273609,Plumas
