Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2013-09-24T20:15:00Z,Tulare,54,36.258,-118.459,,134,,,,,
2013-05-03T06:15:00Z,Sonoma,49,38.638828,-122.655616,,125,,,,,
2013-06-18T22:30:00Z,Solano,48,38.08744,-122.13802,,124,,,,,
2013-06-05T08:30:00Z,Merced,24,37.03776,-121.006939,,124,,,,,
2013-05-25T23:00:00Z,Riverside,33,33.963591,-117.187934,,124,,,,,
2013-11-10T18:30:00Z,Lake,17,38.882214,-122.567525,,120,,,,,
2013-08-16T17:55:00Z,El Dorado,9,38.682378,-120.839075,,116,,,,,
2013-08-18T20:55:00Z,San Bernardino,36,34.287,-117.451,,110,,,,,
2013-06-13T21:30:00Z,Fresno,10,36.772425,-119.628389,,108,,,,,
2013-06-29T18:30:00Z,Monterey,27,36.1531,-120.8973,,105,,,,,
2013-08-11T19:15:00Z,Los Angeles,19,0,0,,100,,,,,
2013-06-02T16:55:00Z,Tuolumne,55,37.91529,-120.33313,,100,,,,,
2013-05-23T08:30:00Z,San Diego,37,32.564465,-116.900368,,100,,,,,
2013-09-29T18:15:00Z,Mendocino,23,38.9252,-122.966,,98,,,,,
2013-09-24T20:15:00Z,Modoc,25,41.73325,-120.375,,97,,,,,
2013-08-30T08:00:00Z,San Bernardino,36,33.642,-116.706,,97,,,,,
2013-08-12T09:30:00Z,Lassen,18,40.88886,-120.958126,,97,,,,,
2013-06-13T09:45:00Z,Amador,3,38.27783,-120.966016,,96,,,,,
2013-09-24T17:30:00Z,San Luis Obispo,40,35.4393,-120.8358,,94,,,,,
2013-08-04T14:45:00Z,Butte,4,39.6612,-121.50354,,92,,,,,
2013-05-20T19:10:00Z,Madera,20,37.1927,-119.7917,,91,,,,,
2013-05-21T19:30:00Z,Riverside,33,33.9582,-116.6534,,90,,,,,
2013-07-07T22:00:00Z,San Luis Obispo,40,35.62743,-120.83417,,85,,,,,
2013-11-22T17:30:00Z,Mendocino,23,39.0442,-123.1478,,82,,,,,
2013-09-01T18:00:00Z,Butte,4,39.731878,-121.713938,,80,,,,,
2013-04-09T15:30:00Z,Fresno,10,0,0,,80,,,,,
2013-09-15T19:00:00Z,Tehama,52,0,0,,75,,,,,
2013-07-26T18:15:00Z,San Bernardino,36,34.316,-117.352,,75,,,,,
2013-06-14T16:30:00Z,Madera,20,37.169379,-119.75636,,75,,,,,
2013-05-15T08:15:00Z,San Bernardino,36,34.1834,-117.4408,,75,,,,,
2013-05-01T17:15:00Z,Napa,28,38.441792,-122.350844,,75,,,,,
2013-09-12T08:45:00Z,San Bernardino,36,34.003151,-117.106075,,73,,,,,
2013-07-08T17:30:00Z,Yuba,58,39.206,-121.31634,,73,,,,,
2013-05-04T19:00:00Z,Butte,4,0,0,,72,,,,,
2013-08-18T18:30:00Z,Lake,17,39.013682,-122.491894,,70,,,,,
2013-09-05T21:00:00Z,Modoc,25,41.569,-120.959,,68,,,,,
2013-11-15T16:00:00Z,Ventura,56,34.384,-119.13249,,64,,,,,
2013-08-08T09:00:00Z,Riverside,33,38.838,-116.61,,60,,,,,
2013-08-04T18:00:00Z,Riverside,33,33.91027,-116.99895,,60,,,,,
2013-08-31T21:30:00Z,Nevada,29,39.333401,-121.107022,,52,,,,,
2013-11-09T17:00:00Z,San Luis Obispo,40,35.457978,-120.751555,,51,,,,,
2013-11-24T08:45:00Z,Lake,17,39.0448,-122.7656,,50,,,,,
2013-08-15T17:00:00Z,Siskiyou,47,41.923323,-122.578393,,50,,,,,
2013-07-12T17:45:00Z,Santa Clara,43,37.1438,-121.7804,,50,,,,,
2013-07-04T11:30:00Z,Alameda,1,37.7393,-121.5869,,50,,,,,
2013-05-25T18:45:00Z,San Luis Obispo,40,35.5123,-120.6368,,50,,,,,
2013-08-19T07:10:00Z,Calaveras,5,38.06231,-120.45233,,46,,,,,
2013-06-19T08:45:00Z,Fresno,10,37.03087,-119.463757,,46,,,,,
2013-07-23T16:00:00Z,Mendocino,23,38.980846,-123.067671,,45,,,,,
2013-12-11T17:30:00Z,Ventura,56,0,0,,44,,,,,
2013-07-09T15:00:00Z,Shasta,45,40.373,-122.7338,,43,,,,,
2013-06-08T19:00:00Z,Riverside,33,33.96936,-117.1265,,42,,,,,
2013-09-07T20:00:00Z,San Mateo,41,37.667295,-122.427285,,41,,,,,
2013-12-31T16:00:00Z,Santa Clara,43,37.342186,-121.717706,,40,,,,,
2013-10-09T08:00:00Z,Orange,30,33.7655,-117.6649,,40,,,,,
2013-09-28T09:15:00Z,San Diego,37,0,0,,40,,,,,
