Counties (Location),FormattedDate,Latitude,Longitude,Extinguished (Date),Wildfire_Probability,AcresBurned,County,Latitude (WeatherStation),Longitude (WeatherStation),Stn Id,Precip (in),precip30 (in),precip60 (in),precip90 (in),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%)
Inyo,2/28/2013,36.602575,-118.01651,2013-02-28T20:00:00Z,,406,Inyo,36.488611,-117.91944,183,0,0,0.27,0.34,62.6,27.4,43.6,63,15,40
San Bernardino,4/22/2013,34.288877,-116.941311,2013-04-22T09:00:00Z,,30,San Bernardino,34.237419,-116.86571,199,0,0,0.5,2.11,70.1,31,50.1,64,13,33
Madera,5/1/2013,37.116295,-119.635004,2013-05-01T07:00:00Z,,274,Madera,37.02,-120.15,188,0,0.32,0.32,0.32,86.5,46.4,66.1,80,23,44
Napa,5/1/2013,38.441792,-122.350844,2013-05-01T17:15:00Z,,75,Napa,38.428475,-122.41021,77,0,0.78,2.76,3.12,87.3,58.2,73.5,31,9,
San Benito,5/3/2013,37.160346,-120.937494,2013-05-03T18:45:00Z,,354,San Benito,36.854833,-121.36275,126,0,0.27,0.76,1.4,91.4,48.5,68.3,71,15,32
Sonoma,5/3/2013,38.638828,-122.655616,2013-05-03T06:15:00Z,,125,Sonoma,38.52665,-122.813758,103,0,1.01,3.43,3.83,91,40.3,64.4,94,18,47
Riverside,5/4/2013,34.288877,-116.941311,2013-05-04T18:30:00Z,,3166,Riverside,33.9,-117.17,238,0.01,0.13,0.13,0.13,84,51.5,66,81,10,30
Riverside,5/5/2013,33.894055,-116.855019,2013-05-05T18:45:00Z,,510,Riverside,33.9,-117.17,238,0.01,0.14,0.14,0.14,67.8,52.5,58.5,90,44,62
Glenn,5/5/2013,39.514139,-122.560862,2013-05-05T18:00:00Z,,217,Colusa,39.226861,-122.0248,32,0,0.01,1.48,1.72,72.3,52.6,62.5,83,43,63
Tehama,5/9/2013,40.190062,-121.595555,2013-05-09T09:00:00Z,,6965,Tehama,40.044053,-122.16551,8,0,0,0.79,1.13,90.3,55,70.3,96,33,64
San Bernardino,5/15/2013,34.1834,-117.4408,2013-05-15T08:15:00Z,,75,San Bernardino,34.255942,-117.21814,192,0,0,0,0,71,36.7,54,97,38,68
Riverside,5/17/2013,33.655638,-116.161201,2013-05-17T08:30:00Z,,40,Riverside,33.595694,-116.15811,218,0,0,0,0,90.3,69.9,77.9,53,22,38
Los Angeles,5/18/2013,34.49149,-118.610044,2013-05-18T19:00:00Z,,712,Los Angeles,34.426361,-118.51758,204,0,0.28,0.28,1.12,79.2,51.1,67.1,82,15,42
Riverside,5/20/2013,33.96201,-116.907213,2013-05-20T18:50:00Z,,25,Riverside,33.9,-117.17,238,0,0.99,0.99,0.99,93.4,54.8,73.9,83,10,39
San Luis Obispo,5/20/2013,35.49864,-120.91375,2013-05-20T19:10:00Z,,35,San Luis Obispo,35.472556,-120.64814,163,0.02,0.73,1,1.68,90.3,43.2,68.5,89,16,36
Madera,5/20/2013,37.1927,-119.7917,2013-05-20T19:10:00Z,,91,Madera,37.02,-120.15,188,0,0.06,0.38,0.38,90.6,48.4,69,87,21,45
Riverside,5/21/2013,33.9582,-116.6534,2013-05-21T19:30:00Z,,90,Riverside,33.841292,-116.47873,118,0,0,0,0,98.7,69.9,84.7,31,13,21
Ventura,5/21/2013,34.7861,-118.9411,2013-05-21T19:45:00Z,,4346,Ventura,34.324639,-119.10488,198,0,0.14,0.15,1.02,75.3,52,64,88,60,74
Kern,5/21/2013,34.7861,-118.9411,2013-05-21T19:45:00Z,,4346,Kern,35.205583,-118.77841,125,0,0.48,0.76,1.63,91.6,57.2,75.9,62,16,31
San Diego,5/23/2013,32.564465,-116.900368,2013-05-23T08:30:00Z,,100,San Diego,32.628208,-116.93928,147,0,0,0,0,67.2,55.1,60.9,86,63,74
Riverside,5/25/2013,33.963591,-117.187934,2013-05-25T23:00:00Z,,124,Riverside,33.9,-117.17,238,0.02,1.05,1.06,1.06,76.9,50.6,62.2,86,32,56
San Luis Obispo,5/25/2013,35.5123,-120.6368,2013-05-25T18:45:00Z,,50,San Luis Obispo,35.472556,-120.64814,163,0.02,0.71,0.99,1.52,73.3,35.6,53.3,92,26,61
San Diego,5/26/2013,33.12111,-116.52579,2013-05-26T17:45:00Z,,2781,San Diego,33.268447,-116.36505,207,0,0,0,0,91.2,53.8,76.3,65,14,27
Los Angeles,5/29/2013,34.419284,-118.58688,2013-05-29T15:30:00Z,,149,Los Angeles,34.426361,-118.51758,204,0,0.28,0.28,0.95,89.6,57.9,74.8,44,14,28
Santa Barbara,5/29/2013,34.611824,-120.074655,2013-05-29T10:30:00Z,,170,Santa Barbara,34.583144,-120.07924,64,0,0.06,0.22,0.89,79.4,47,60.5,95,40,70
Santa Barbara,5/30/2013,34.55048,-119.82429,2013-05-30T19:30:00Z,,1984,Santa Barbara,34.471333,-119.86929,94,0,0.22,1.72,3.08,75.9,59.8,67.8,69,32,53
San Joaquin,5/30/2013,38.04993,-120.90325,2013-05-30T13:25:00Z,,303,San Joaquin,37.834822,-121.22319,70,0,0.02,1.24,1.74,82.9,49.6,66.7,87,26,48
San Diego,5/31/2013,33.04458,-116.5209,2013-05-31T06:15:00Z,,1271,San Diego,33.268447,-116.36505,207,0,0,0,0,97.6,64.4,82.1,62,16,36
Tuolumne,6/2/2013,37.91529,-120.33313,2013-06-02T16:55:00Z,,100,Stanislaus,37.727194,-120.85086,194,0,0,0.37,1.25,94.9,59.3,76.3,66,27,45
San Luis Obispo,6/3/2013,35.15832,-120.05131,2013-06-03T18:30:00Z,,500,San Luis Obispo,35.028281,-120.56003,202,0.03,0.89,1.52,2.53,63,51.1,55.7,95,66,84
Butte,6/3/2013,39.434183,-121.576804,2013-06-03T20:00:00Z,,298,Butte,39.608639,-121.82443,12,0,0.27,0.82,4.24,98.7,57.2,77.7,88,28,52
Merced,6/5/2013,37.03776,-121.006939,2013-06-05T08:30:00Z,,124,Merced,37.096694,-120.7539,56,0,0,0,0.89,87.6,54.2,69.6,87,33,56
Lake,6/6/2013,38.99233,-122.703193,2013-06-06T07:00:00Z,,30,Mendocino,39.006747,-123.08012,85,0,0.03,0.23,1.74,94.1,45.8,69.9,97,21,52
Riverside,6/8/2013,33.96936,-117.1265,2013-06-08T19:00:00Z,,42,Riverside,33.9,-117.17,238,0,0.39,1.12,1.12,90,56.6,70,94,32,60
Los Angeles,6/8/2013,34.585595,-118.423176,2013-06-08T18:30:00Z,,30274,Los Angeles,34.426361,-118.51758,204,0,0,0.28,0.28,83.9,55,67.4,89,35,62
Alameda,6/8/2013,37.775057,-121.737213,2013-06-08T13:25:00Z,,240,Alameda,37.663969,-121.88503,191,0,0,0,0.6,102.5,62.6,79.9,72,21,42
Riverside,6/9/2013,33.99647,-116.84137,2013-06-09T16:45:00Z,,0,Riverside,33.9,-117.17,238,0,0.27,1.12,1.12,92.4,55.5,69.6,93,11,55
Fresno,6/13/2013,36.763367,-119.558244,2013-06-13T21:30:00Z,,35,Fresno,36.721083,-119.38903,142,0,0.9,1.28,1.49,87,52.8,73.2,55,13,24
Fresno,6/13/2013,36.772425,-119.628389,2013-06-13T21:30:00Z,,108,Fresno,36.820833,-119.74231,80,0,0,0.07,0.56,84.8,66.9,78.3,56,19,25
Amador,6/13/2013,38.27783,-120.966016,2013-06-13T09:45:00Z,,96,Amador,38.508333,-120.79972,227,0,0.11,0.3,2.62,79.8,43.5,61.7,73,16,40
Placer,6/13/2013,38.729297,-121.380862,2013-06-13T14:15:00Z,,237,Placer,38.887603,-121.10291,195,0,0,0.04,2.49,82.4,52.8,67.4,73,20,41
Madera,6/14/2013,37.169379,-119.75636,2013-06-14T16:30:00Z,,75,Madera,37.02,-120.15,188,0,0,0.06,0.38,90.7,51.5,70.7,78,14,41
Colusa,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,,28,Colusa,39.226861,-122.0248,32,0,0.06,0.27,1.63,88.1,58.9,73.6,83,18,36
Sonoma,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,,28,Sonoma,38.266428,-122.61646,144,0,0,0,1.6,83.7,45.3,63.2,94,26,56
Solano,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,,28,Solano,38.501258,-121.97853,139,0,0.01,0.7,1.68,87.4,58.7,74.8,56,14,26
Lake,6/14/2013,38.4229,-122.0437,2013-06-14T15:45:00Z,,28,Solano,38.501258,-121.97853,139,0,0.01,0.7,1.68,87.4,58.7,74.8,56,14,26
Riverside,6/15/2013,34.001745,-117.302057,2013-06-15T08:00:00Z,,40,Riverside,33.964942,-117.33698,44,0,0,0.25,0.25,82.1,57.5,66.5,81,31,60
Madera,6/18/2013,37.015575,-119.78106,2013-06-18T19:30:00Z,,482,Madera,37.02,-120.15,188,0,0,0.06,0.38,82.3,54.2,67.9,86,25,48
Solano,6/18/2013,38.08744,-122.13802,2013-06-18T22:30:00Z,,124,Solano,38.278056,-121.74111,212,0,0.02,0.13,1.11,75.9,53.7,63.3,85,35,57
Fresno,6/19/2013,37.03087,-119.463757,2013-06-19T08:45:00Z,,46,Fresno,36.820833,-119.74231,80,0,0,0.07,0.54,79.5,53.2,66.6,76,21,43
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T13:15:00Z,,25,Mendocino,39.006747,-123.08012,85,0,0.03,0.11,1.22,77.7,44.3,60.3,89,22,49
Fresno,6/25/2013,36.7218,-119.2248,2013-06-25T17:15:00Z,,150,Fresno,36.721083,-119.38903,142,0,0.9,1.28,1.49,90.8,64.3,78.2,73,29,45
Mariposa,6/26/2013,37.58202,-119.91071,2013-06-26T11:15:00Z,,1708,Merced,37.314139,-120.3867,148,0,0.12,0.14,1.07,91.7,63.9,77.8,84,35,57
Monterey,6/29/2013,36.1531,-120.8973,2013-06-29T18:30:00Z,,105,Monterey,36.121083,-121.08457,113,0,0.07,0.15,0.28,100.6,54.3,77,85,16,39
San Bernardino,7/1/2013,34.071556,-117.048397,2013-07-01T06:00:00Z,,534,San Bernardino,34.237419,-116.86571,199,0,0,0.59,0.64,83.5,51.4,66.3,64,19,39
Contra Costa,7/1/2013,37.96866,-121.91453,2013-07-01T18:40:00Z,,492,Contra Costa,38.015372,-122.02028,170,0,0,0,0.49,98.9,,86.8,85,0,37
Contra Costa,7/1/2013,39.90465,-121.74367,2013-07-01T18:30:00Z,,274,Contra Costa,38.015372,-122.02028,170,0,0,0,0.49,98.9,,86.8,85,0,37
Alameda,7/4/2013,37.7393,-121.5869,2013-07-04T11:30:00Z,,50,Alameda,37.663969,-121.88503,191,0,0,0,0.18,100.6,66.9,83,65,21,38
Tehama,7/4/2013,40.012398,-122.079871,2013-07-04T10:30:00Z,,200,Tehama,40.044053,-122.16551,8,0,0.5,1.16,1.26,104.1,72.8,91,44,14,29
Modoc,7/5/2013,41.2415,-121.035,2013-07-05T18:30:00Z,,502,Modoc,41.438214,-120.48031,90,0,0.31,1.68,2.3,88.9,46.7,69.2,81,22,42
Alameda,7/6/2013,37.74241,-121.86216,2013-07-06T14:30:00Z,,38,Alameda,37.663969,-121.88503,191,0,0,0,0.18,84.7,54.6,66.7,86,32,58
San Luis Obispo,7/7/2013,35.62743,-120.83417,2013-07-07T22:00:00Z,,85,San Luis Obispo,35.472556,-120.64814,163,0,0,0.44,1.08,88.4,45.8,64.8,96,18,53
Yuba,7/8/2013,39.206,-121.31634,2013-07-08T17:30:00Z,,73,Yuba,39.252561,-121.31567,84,0,0.6,0.64,0.96,93.6,64.5,79,65,20,40
Shasta,7/9/2013,40.373,-122.7338,2013-07-09T15:00:00Z,,43,Shasta,40.63,-122.31,224,0,2.25,3.22,3.28,97.7,53.1,77.2,86,10,35
El Dorado,7/11/2013,38.774,-120.298,2013-07-11T18:30:00Z,,572,El Dorado,38.753136,-120.7336,13,0,0,0,0.35,87.4,63,75.2,41,13,24
Santa Clara,7/12/2013,37.1438,-121.7804,2013-07-12T17:45:00Z,,50,Santa Clara,37.015026,-121.53704,211,0,0.08,0.08,0.08,81.8,51.3,62.6,100,37,70
Stanislaus,7/13/2013,37.436,-121.1955,2013-07-13T21:45:00Z,,150,Stanislaus,37.438944,-121.13851,161,0,0.02,0.36,0.38,90.3,58.1,74.9,71,26,44
San Diego,7/15/2013,32.95435,-116.47381,2013-07-15T06:15:00Z,,7055,San Diego,33.268447,-116.36505,207,0,0,0,0,108.8,76.3,94.2,42,13,20
Riverside,7/17/2013,33.990128,-117.164997,2013-07-17T07:45:00Z,,150,Riverside,33.9,-117.17,238,0.01,0.49,0.65,1.63,95.4,57.1,77.4,60,9,24
Riverside,7/19/2013,33.94528,-117.09306,2013-07-19T19:30:00Z,,15,Riverside,33.9,-117.17,238,0,0.51,0.66,1.65,97.6,62.9,78.1,70,17,42
El Dorado,7/19/2013,38.63987,-121.08438,2013-07-19T17:15:00Z,,163,El Dorado,38.636111,-120.79305,228,0,0.66,0.86,1.49,95.6,74.2,87.1,44,15,22
Sacramento,7/19/2013,38.63987,-121.08438,2013-07-19T17:15:00Z,,163,Sacramento,38.649964,-121.21887,131,0,0,0,0,100.3,57.9,79.7,76,21,42
Tehama,7/19/2013,39.961309,-122.330879,2013-07-19T15:00:00Z,,195,Tehama,40.044053,-122.16551,8,0,0.49,0.6,1.16,95.5,59.2,78.5,82,32,54
Riverside,7/20/2013,33.9634,-117.2508,2013-07-20T19:30:00Z,,40,Riverside,33.964942,-117.33698,44,0.29,0.32,0.32,0.57,78.9,62.4,69.8,81,58,73
Kern,7/22/2013,34.882,-118.9194,2013-07-22T18:45:00Z,,712,Kern,35.205583,-118.77841,125,0,0,0.16,0.64,98.6,76.2,86.7,65,24,40
Mendocino,7/23/2013,38.980846,-123.067671,2013-07-23T16:00:00Z,,45,Mendocino,38.982581,-123.08928,106,0,0,0,0,87.8,60.1,73.4,73,31,50
Calaveras,7/23/2013,37.965364,-120.696362,2013-07-23T15:10:00Z,,31,Stanislaus,37.727194,-120.85086,194,0,0.07,0.07,0.07,86.9,64.9,74.2,67,29,45
Kern,7/25/2013,34.90327,-118.93388,2013-07-25T18:30:00Z,,612,Kern,35.205583,-118.77841,125,0,0,0.16,0.64,101.4,77.4,92.7,66,22,30
San Bernardino,7/26/2013,34.316,-117.352,2013-07-26T18:15:00Z,,75,San Bernardino,34.255942,-117.21814,192,0,0,0,0,82.3,56.6,66.7,68,44,55
Sonoma,7/26/2013,38.17693,-122.51253,2013-07-26T17:45:00Z,,158,Sonoma,38.266428,-122.61646,144,0,0,0,0,74.4,51.8,58.7,100,59,85
San Diego,7/28/2013,32.612773,-116.707335,2013-07-28T17:50:00Z,,25,San Diego,32.628208,-116.93928,147,0,0,0,0,74.4,57.7,65,94,64,80
Riverside,7/30/2013,33.7095,-116.72885,2013-07-30T18:00:00Z,,27531,Riverside,33.841292,-116.47873,118,0,0,0,0,102.7,77.1,88.6,44,23,33
Humboldt,8/3/2013,41.333,-123.376,2013-08-03T15:00:00Z,,0,Shasta,40.63,-122.31,224,0,0,2.25,3.28,95.8,52.4,74.6,81,13,36
Riverside,8/4/2013,33.91027,-116.99895,2013-08-04T18:00:00Z,,60,Riverside,33.9,-117.17,238,0,0.2,0.55,1.53,91.5,58,73.7,88,18,46
Butte,8/4/2013,39.6612,-121.50354,2013-08-04T14:45:00Z,,92,Butte,39.608639,-121.82443,12,0,0,0.6,0.87,87.7,55.2,71.2,82,33,58
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T18:30:00Z,,38,Mendocino,39.006747,-123.08012,85,0,0,0.04,0.07,75.1,49.1,59.7,96,49,73
Riverside,8/8/2013,38.838,-116.61,2013-08-08T09:00:00Z,,60,Riverside,33.964942,-117.33698,44,0,0.34,0.36,0.36,87.7,57.8,71.4,77,20,46
Riverside,8/9/2013,33.62236,-117.40288,2013-08-09T18:45:00Z,,1383,Riverside,33.48665,-117.22827,62,0,0.03,0.04,0.07,81.3,54.4,63.7,97,40,73
Riverside,8/12/2013,33.86157,-116.90427,2013-08-12T18:00:00Z,,20292,Riverside,33.9,-117.17,238,0,0.1,0.55,0.74,92.8,57.9,74.2,83,16,46
Lassen,8/12/2013,40.88886,-120.958126,2013-08-12T09:30:00Z,,97,Lassen,40.289799,-120.433948,57,0,0.1,0.18,0.25,88.6,44.7,67.8,53,12,26
Humboldt,8/12/2013,41.035,-123.488,2013-08-12T12:00:00Z,,12503,Shasta,40.63,-122.31,224,0,0,2.25,3.22,93.6,55.6,74.9,84,16,40
San Bernardino,8/13/2013,34.35,-117.62,2013-08-13T23:45:00Z,,243,San Bernardino,34.475914,-117.26351,117,0,0,0,0,96.8,56.1,78.7,45,9,19
Shasta,8/14/2013,40.473356,-122.48259,2013-08-14T20:35:00Z,,27,Shasta,40.63,-122.31,224,0,0,2.25,3.22,99.3,54.9,77.4,77,13,32
Tuolumne,8/14/2013,38.25108,-120.02778,2013-08-14T08:30:00Z,,1070,Amador,38.508333,-120.79972,227,0,0,0.4,0.51,88,55.7,72.3,51,17,31
Siskiyou,8/15/2013,41.923323,-122.578393,2013-08-15T17:00:00Z,,50,Siskiyou,41.958869,-121.47237,91,0,0.04,1.31,1.67,86.6,42,66.3,91,17,42
Riverside,8/16/2013,33.570291,-116.10815,2013-08-16T21:00:00Z,,40,Riverside,33.595694,-116.15811,218,0,0,0,0,107.4,75,94.9,47,19,27
El Dorado,8/16/2013,38.682378,-120.839075,2013-08-16T17:55:00Z,,116,El Dorado,38.636111,-120.79305,228,0,0.02,0.68,0.88,92.6,70.2,83.3,46,14,24
San Bernardino,8/18/2013,34.287,-117.451,2013-08-18T20:55:00Z,,110,San Bernardino,34.255942,-117.21814,192,0,0,0,0,84.1,59.4,72.2,63,20,38
Lake,8/18/2013,39.013682,-122.491894,2013-08-18T18:30:00Z,,70,Colusa,39.226861,-122.0248,32,0,0,0.1,0.16,98.2,63.7,79.7,90,32,58
Calaveras,8/19/2013,38.06231,-120.45233,2013-08-19T07:10:00Z,,46,Stanislaus,37.727194,-120.85086,194,0,0,0.07,0.07,100.1,64.6,83,81,29,47
San Bernardino,8/20/2013,34.302,-117.598,2013-08-20T13:32:00Z,,413,San Bernardino,34.255942,-117.21814,192,0,0,0,0,80.8,55.1,68.6,69,18,39
Butte,8/22/2013,39.446268,-121.38236,2013-08-22T18:00:00Z,,2462,Butte,39.608639,-121.82443,12,0,0,0.38,0.69,88.6,60,70.3,100,49,88
Shasta,8/23/2013,40.5445,-121.3754,2013-08-23T19:15:00Z,,196,Shasta,41.063767,-121.45602,43,0,0.38,1.08,1.38,82.6,43.8,63.1,90,29,55
Kern,8/24/2013,35.707,-118.588,2013-08-24T13:45:00Z,,794,Kern,35.603111,-119.21259,138,0,0,0,0,90.6,60,75.1,70,17,38
El Dorado,8/24/2013,38.89555,-120.84716,2013-08-24T11:45:00Z,,38,El Dorado,38.753136,-120.7336,13,0,0,0,0,81.9,59.5,70.1,57,21,37
Plumas,8/25/2013,40.00842,-120.764666,2013-08-25T13:15:00Z,,513,Lassen,40.289799,-120.433948,57,0,0.13,0.23,0.36,80.7,44.5,62.5,71,20,40
Tehama,8/29/2013,40.04263,-121.85397,2013-08-29T16:45:00Z,,11429,Tehama,40.044053,-122.16551,8,0,0.01,0.01,0.51,89.9,59.4,75.6,86,30,54
San Bernardino,8/30/2013,33.642,-116.706,2013-08-30T08:00:00Z,,97,San Bernardino,34.237419,-116.86571,199,0.31,0.48,1.23,1.23,,49.1,58.2,91,56,83
Placer,8/30/2013,39.12,-120.65,2013-08-30T08:00:00Z,,27440,Placer,38.887603,-121.10291,195,0,0,0,0,94.7,66.4,78.6,50,18,35
Siskiyou,8/31/2013,41.32,-123.176,2013-08-31T06:45:00Z,,14754,Siskiyou,41.958869,-121.47237,91,0,0.2,0.24,1.55,88.3,39.2,64.1,94,17,42
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T21:30:00Z,,52,Yuba,39.252561,-121.31567,84,0,0,0.01,0.61,93.8,70.3,81.4,40,23,33
Butte,9/1/2013,39.731878,-121.713938,2013-09-01T18:00:00Z,,80,Butte,39.608639,-121.82443,12,0,0,0,0.6,81.4,63.2,73.4,89,47,69
Modoc,9/5/2013,41.569,-120.959,2013-09-05T21:00:00Z,,68,Modoc,41.438214,-120.48031,90,0,0.52,0.52,0.83,78.9,37,57.9,95,21,46
Tuolumne,9/6/2013,37.857,-120.086,2013-09-06T18:30:00Z,,257314,Merced,37.314139,-120.3867,148,0,0,0,0.12,90.5,57.3,73.2,77,25,48
San Mateo,9/7/2013,37.667295,-122.427285,2013-09-07T20:00:00Z,,41,Contra Costa,37.837614,-122.14074,178,0,0,0,0,92.7,50.1,70.5,91,20,45
San Diego,9/12/2013,32.710918,-116.746023,2013-09-12T18:15:00Z,,263,San Diego,32.628208,-116.93928,147,0,0,0,0,81.3,58.5,68.2,97,57,
San Bernardino,9/12/2013,34.003151,-117.106075,2013-09-12T08:45:00Z,,73,San Bernardino,34.255942,-117.21814,192,0,0,0,0,76,45,60.7,54,13,26
Contra Costa,9/14/2013,37.90757,-121.882582,2013-09-14T17:30:00Z,,3111,Contra Costa,38.015372,-122.02028,170,0,0,0,0,77.5,56.8,64.2,88,51,71
Shasta,9/15/2013,40.498332,-122.535496,2013-09-15T07:30:00Z,,8073,Shasta,40.63,-122.31,224,0,0,0,2.25,85.4,56.3,69.8,90,26,53
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:14:00Z,,30,Mendocino,39.006747,-123.08012,85,0,0,0,0.04,81.1,49.9,64.1,91,35,64
San Luis Obispo,9/24/2013,35.4393,-120.8358,2013-09-24T17:30:00Z,,94,San Luis Obispo,35.335261,-120.73588,160,0,0.01,0.01,0.02,82.7,,61.9,90,41,71
Tulare,9/24/2013,36.208,-118.444,2013-09-24T20:15:00Z,,2060,Tulare,36.3605,-119.05935,86,0,0,0.09,0.15,86.7,54.4,70.6,87,32,55
Tulare,9/24/2013,36.258,-118.459,2013-09-24T20:15:00Z,,134,Tulare,36.3605,-119.05935,86,0,0,0.09,0.15,86.7,54.4,70.6,87,32,55
Fresno,9/24/2013,37.279,-119.318,2013-09-24T20:15:00Z,,22992,Fresno,36.721083,-119.38903,142,0,0.16,0.17,0.84,86.1,51.9,70.5,73,24,41
Modoc,9/24/2013,41.73325,-120.375,2013-09-24T20:15:00Z,,97,Modoc,41.438214,-120.48031,90,0.25,0.43,0.78,0.78,60.3,37,49,92,52,72
Los Angeles,9/28/2013,34.149,-117.908,2013-09-28T08:00:00Z,,268,Los Angeles,34.146372,-117.9858,159,0,0.01,0.01,0.01,89.4,54,70.3,44,10,24
Mendocino,9/29/2013,38.9252,-122.966,2013-09-29T18:15:00Z,,98,Mendocino,38.982581,-123.08928,106,0,0,0,0,71.7,58.9,63,89,67,82
San Bernardino,9/30/2013,34.2,-117.417,2013-09-30T08:30:00Z,,200,San Bernardino,34.255942,-117.21814,192,0,0,0,0,77.5,32.8,53.5,43,9,23
Napa,10/4/2013,38.628,-122.289,2013-10-04T16:55:00Z,,376,Napa,38.428475,-122.41021,77,0,0,0,0,81.9,56.1,70.5,27,12,17
Sonoma,10/5/2013,38.34599,-122.6503,2013-10-05T07:45:00Z,,159,Sonoma,38.419439,-122.65872,158,0,0,0,0,86.3,42.8,63.5,70,13,31
Butte,10/5/2013,39.439,-121.497,2013-10-05T22:00:00Z,,305,Butte,39.608639,-121.82443,12,0,0.98,0.98,0.98,73.3,46,55.1,100,35,75
San Diego,10/9/2013,33.341,-117.3092,2013-10-09T19:00:00Z,,2236,San Diego,33.08105,-116.9757,153,0.42,0.42,0.42,0.46,63.3,49.1,56.9,97,63,81
Orange,10/9/2013,33.7655,-117.6649,2013-10-09T08:00:00Z,,40,Orange,33.68845,-117.72118,75,0.45,0.8,0.8,0.89,63.3,50.8,57.1,95,62,78
Yolo,11/4/2013,38.67479,-122.08725,2013-11-04T15:35:00Z,,163,Yolo,38.691786,-122.01381,196,0,0.04,0.04,0.04,69.9,55.3,61.9,30,18,25
Shasta,11/7/2013,40.483662,-122.140914,2013-11-07T19:45:00Z,,33,Shasta,40.63,-122.31,224,0,0.11,1.07,1.07,73.2,41.9,54.6,87,22,54
San Luis Obispo,11/9/2013,35.457978,-120.751555,2013-11-09T17:00:00Z,,51,San Luis Obispo,35.472556,-120.64814,163,0,0,0,0,76.2,30.6,48.9,94,23,67
Lake,11/10/2013,38.882214,-122.567525,2013-11-10T18:30:00Z,,120,Sonoma,38.52665,-122.813758,103,0,0.02,0.02,0.02,68,35.1,48.4,99,52,84
Ventura,11/15/2013,34.384,-119.13249,2013-11-15T16:00:00Z,,64,Ventura,34.324639,-119.10488,198,0,0,0,0,72,44,56.3,93,56,79
Mendocino,11/22/2013,39.0442,-123.1478,2013-11-22T17:30:00Z,,82,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,73.3,47.9,61.7,21,6,11
Napa,11/23/2013,38.382,-122.311,2013-11-23T18:30:00Z,,190,Napa,38.428475,-122.41021,77,0,1.12,1.12,1.12,71.2,36.5,57.6,75,10,24
Lake,11/24/2013,38.9289,-122.5818,2013-11-24T18:45:00Z,,23,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,64.1,34.4,47.2,72,26,50
Lake,11/24/2013,39.0448,-122.7656,2013-11-24T08:45:00Z,,50,Mendocino,39.006747,-123.08012,85,0,0.09,0.09,0.12,64.1,34.4,47.2,72,26,50
Sonoma,11/27/2013,38.8167,-122.8498,2013-11-27T18:15:00Z,,3505,Sonoma,38.52665,-122.813758,103,0,1.26,1.28,1.28,68.3,29.4,46.3,100,42,75
Santa Clara,12/31/2013,37.342186,-121.717706,2013-12-31T16:00:00Z,,40,Santa Clara,37.015026,-121.53704,211,0,0.43,0.95,1.08,69.7,26.3,44.6,76,24,53
Humboldt,1/8/2014,40.884415,-123.773779,2014-01-08T19:15:00Z,,333,Shasta,40.63,-122.31,224,0,0,1.82,1.93,59.9,25.5,41.7,91,32,61
Tehama,1/10/2014,40.134597,-121.790183,2014-01-10T18:30:00Z,,865,Tehama,40.044053,-122.16551,8,0,0,1.14,1.14,61.5,33.6,45.2,97,45,74
Fresno,1/26/2014,36.8266,-119.3415,2014-01-26T18:00:00Z,,106,Fresno,36.721083,-119.38903,142,0,0,0.34,0.85,71.3,38.8,52.1,61,19,37
Los Angeles,1/27/2014,34.1703,-117.8816,2014-01-27T10:00:00Z,,1952,Los Angeles,34.146372,-117.9858,159,0,0.01,0.58,1.21,70.6,47.9,57.8,86,45,66
San Diego,3/11/2014,32.81,-116.49,2014-03-11T11:00:00Z,,125,San Diego,32.628208,-116.93928,147,0,1.55,2.24,2.24,69.6,48.1,58.5,94,34,66
Monterey,3/21/2014,36.6313,-121.4819,2014-03-21T18:00:00Z,,400,Monterey,36.625619,-121.537889,214,0,0.51,1.54,1.55,62.5,44.1,53.3,93,62,77
Riverside,3/29/2014,33.5982,-116.1985,2014-03-29T17:15:00Z,,57,Riverside,33.595694,-116.15811,218,0,0,0,0,82.9,45.9,66.6,81,19,41
Inyo,4/21/2014,37.399,-118.352,2014-04-21T19:15:00Z,,113,Inyo,37.358514,-118.40553,35,0,0.15,1,1.16,83.6,35.9,62.1,69,8,20
Monterey,5/1/2014,36.103,-121.117,2014-05-01T19:00:00Z,,75,Monterey,36.121083,-121.08457,113,0,0.44,0.85,3.73,98.1,49.1,71.7,56,12,27
San Bernardino,5/5/2014,34.169346,-117.547374,2014-05-05T17:30:00Z,,2143,San Bernardino,34.255942,-117.21814,192,0,0,0,3.09,60,35.7,49.6,100,21,64
San Diego,5/6/2014,32.665,-116.222,2014-05-06T10:20:00Z,,29,San Diego,32.628208,-116.93928,147,0,0.2,0.57,2.34,63.5,53,58.4,81,51,65
