Counties (Location),FormattedDate,Wildfire_Probability,County (Actual Location),Stn Id,Norm Precip (in),Norm precip30 (in),Norm precip60 (in),Norm precip90 (in),Norm Avg Air Temp (F),Norm Avg Rel Hum (%),,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,8/16/2013,1,Riverside,218,0,0,0,0,0.951020408,0.223404255,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Bernardino,8/16/2013,1,San Bernardino,192,0,0,0,0,0.617687075,0.382978723,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Calaveras,8/17/2013,1,Stanislaus,194,0,0,0.002437326,0.001979078,0.685714286,0.457446809,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Lake,8/17/2013,1,Colusa,32,0,0,0.003481894,0.004523608,0.737414966,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tuolumne,8/17/2013,1,Merced,148,0,0,0.000348189,0.003392706,0.745578231,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
El Dorado,8/18/2013,1,El Dorado,13,0,0,0,0,0.756462585,0.244680851,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Plumas,8/18/2013,1,Lassen,57,0,0.009149131,0.006267409,0.007068137,0.759183673,0.180851064,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Shasta,8/19/2013,1,Shasta,43,0.25,0.021957914,0.035167131,0.035057959,0.646258503,0.489361702,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Bernardino,8/20/2013,1,San Bernardino,192,0,0,0,0,0.593197279,0.35106383,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tehama,8/23/2013,1,Tehama,8,0,0.000914913,0.017409471,0.017246254,0.646258503,0.553191489,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Kern,8/24/2013,1,Kern,138,0,0,0,0,0.681632653,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Bernardino,8/24/2013,1,San Bernardino,199,0,0.019213175,0.02994429,0.024314391,0.468027211,0.329787234,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Tulare,8/24/2013,1,Tulare,86,0,0.008234218,0.005222841,0.004806333,0.714285714,0.436170213,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Butte,8/31/2013,1,Butte,12,0,0,0,0.016963528,0.68707483,0.638297872,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Nevada,8/31/2013,1,Yuba,84,0,0,0.000348189,0.017246254,0.767346939,0.287234043,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
San Luis Obispo,9/5/2013,1,San Luis Obispo,160,0,0,0.000348189,0.000848176,0.482993197,0.787234043,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
Modoc,9/7/2013,1,Modoc,90,0,0.04757548,0.01810585,0.023466214,0.470748299,0.340425532,,,,,,,,,,,,,,,,,,,,,,,,,,Keep?
