Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned,,,,,,,,
Mariposa,10/7/2014,37,40.34,2014-10-07T15:05:00Z,22,,311,,,,,,,,
Placer,10/8/2014,0,0,2014-10-08T13:33:00Z,31,,459,,,,,,,,
San Bernardino,10/16/2014,33.93869,-117.70643,2014-10-16T14:34:00Z,36,,48,,,,,,,,
Shasta,7/30/2014,41.141,-122.805,2014-07-30T20:30:00Z,45,,6258,,,,,,,,
Mariposa,8/17/2014,0,0,2014-08-17T14:30:00Z,22,,4772,,,,,,,,
Los Angeles,8/16/2014,34.267,-117.867,2014-08-16T00:00:00Z,19,,274,,,,,,,,
Los Angeles,8/26/2014,34.235,-117.771,2014-08-26T16:23:00Z,19,,190,,,,,,,,
Madera,8/14/2014,37,18.4,2014-08-14T12:48:00Z,20,,10,,,,,,,,
Inyo,2/6/2015,0,0,2015-02-06T14:07:00Z,"14,26",,7000,,,,,,,,
Mono,2/6/2015,0,0,2015-02-06T14:07:00Z,"14,26",,7000,,,,,,,,
Mono,2/6/2015,0,0,2015-02-06T16:52:00Z,26,,509,,,,,,,,
Siskiyou,2/24/2015,41.485,-121.851,2015-02-24T12:15:00Z,47,,200,,,,,,,,
Plumas,4/13/2015,40.05083333,-120.7016667,2015-04-13T05:30:00Z,32,,137,,,,,,,,
Riverside,4/18/2015,33.884313,-117.642759,2015-04-18T18:12:00Z,33,,1049,,,,,,,,
Merced,5/11/2015,37.08312,-121.06963,2015-05-11T10:26:00Z,24,,275,,,,,,,,
Alameda,5/28/2015,0,0,2015-05-28T17:00:00Z,1,,242,,,,,,,,
Riverside,6/1/2015,0,0,2015-06-01T10:16:00Z,33,,80,,,,,,,,
Riverside,6/5/2015,0,0,2015-06-05T13:32:00Z,33,,25,,,,,,,,
Alameda,6/5/2015,0,0,2015-06-05T19:57:00Z,1,,300,,,,,,,,
Fresno,6/5/2015,0,0,2015-06-05T20:22:00Z,10,,45,,,,,,,,
Lake,6/5/2015,0,0,2015-06-05T17:00:00Z,17,,25,,,,,,,,
Placer,6/8/2015,0,0,2015-06-08T10:33:00Z,31,,110,,,,,,,,
Mariposa,6/7/2015,0,0,2015-06-07T12:06:00Z,22,,25,,,,,,,,
Napa,6/9/2015,0,0,2015-06-09T15:23:00Z,28,,36,,,,,,,,
Humboldt,6/10/2015,41.1513,-123.8292,2015-06-10T07:42:00Z,12,,20,,,,,,,,
Kern,6/15/2015,35.77937,-120.19482,2015-06-15T15:46:00Z,15,,67,,,,,,,,
Amador,6/16/2015,38.260777,-121.135426,2015-06-16T16:42:00Z,3,,60,,,,,,,,
Tehama,6/16/2015,40.0133,-122.552,2015-06-16T14:27:00Z,52,,55,,,,,,,,
Napa,6/17/2015,38.5287,-122.3415,2015-06-17T12:50:00Z,28,,38,,,,,,,,
San Joaquin,6/18/2015,0,0,2015-06-18T14:09:00Z,39,,122,,,,,,,,
Madera,6/18/2015,0,0,2015-06-18T14:31:00Z,20,,500,,,,,,,,
San Diego,6/17/2015,32.9421,-116.8534,2015-06-17T17:03:00Z,37,,171,,,,,,,,
Mariposa,6/18/2015,0,0,2015-06-18T12:03:00Z,22,,60,,,,,,,,
Lassen,6/19/2015,40.875667,-121.033667,2015-06-19T16:15:00Z,18,,60,,,,,,,,
Riverside,6/18/2015,0,0,2015-06-18T14:16:00Z,33,,60,,,,,,,,
Yuba,6/18/2015,39.2688,-121.26471,2015-06-18T13:07:00Z,58,,158,,,,,,,,
Alpine,6/19/2015,38.598056,-119.751944,2015-06-19T19:00:00Z,2,,0,,,,,,,,
Madera,6/21/2015,37.072561,-119.6958,2015-06-21T12:08:00Z,20,,135,,,,,,,,
San Luis Obispo,6/20/2015,0,0,2015-06-20T14:41:00Z,40,,1791,,,,,,,,
Madera,6/22/2015,37.165767,-119.523943,2015-06-22T07:00:00Z,20,,920,,,,,,,,
Ventura,6/18/2015,0,0,2015-06-18T21:00:00Z,56,,164,,,,,,,,
Alameda,6/25/2015,0,0,2015-06-25T16:10:00Z,1,,53,,,,,,,,
Los Angeles,6/24/2015,34.361007,-118.535793,2015-06-24T13:22:00Z,19,,415,,,,,,,,
San Diego,6/26/2015,32.6449163,-116.9454387,2015-06-26T16:06:00Z,37,,80,,,,,,,,
Napa,6/27/2015,38.519132,-122.181878,2015-06-27T12:51:00Z,28,,19,,,,,,,,
Trinity,6/28/2015,40.924,-123.168,2015-06-28T13:30:00Z,53,,1542,,,,,,,,
Santa Barbara,6/10/2015,0,0,2015-06-10T15:00:00Z,42,,211,,,,,,,,
San Bernardino,6/25/2015,34.165974,-117.243878,2015-06-25T18:30:00Z,36,,100,,,,,,,,
Mendocino,6/29/2015,39.7806004,-123.248214,2015-06-29T13:11:00Z,23,,35,,,,,,,,
Butte,7/1/2015,0,0,2015-07-01T13:05:00Z,4,,75,,,,,,,,
Amador,7/2/2015,0,0,2015-07-02T01:58:00Z,3,,355,,,,,,,,
Lassen,6/30/2015,0,0,2015-06-30T15:23:00Z,18,,111,,,,,,,,
Alameda,6/30/2015,0,0,2015-06-30T18:00:00Z,1,,45,,,,,,,,
Santa Clara,7/2/2015,0,0,2015-07-02T04:40:00Z,43,,42,,,,,,,,
Tehama,7/1/2015,39.8448,-122.3638,2015-07-01T20:38:00Z,52,,170,,,,,,,,
Riverside,7/4/2015,0,0,2015-07-04T16:33:00Z,33,,150,,,,,,,,
El Dorado,7/4/2015,0,0,2015-07-04T15:30:00Z,9,,35,,,,,,,,
El Dorado,7/3/2015,0,0,2015-07-03T09:28:00Z,9,,25,,,,,,,,
Mendocino,7/2/2015,39.0263,-123.303,2015-07-02T17:10:00Z,23,,23,,,,,,,,
Solano,7/7/2015,38.4113,-122.0789,2015-07-07T12:34:00Z,48,,150,,,,,,,,
Shasta,7/6/2015,40.5953,-122.4397,2015-07-06T10:47:00Z,45,,18,,,,,,,,
Solano,7/10/2015,38.1029,-122.1578,2015-07-10T13:36:00Z,48,,40,,,,,,,,
Riverside,7/12/2015,33.986204,-117.43942,2015-07-12T13:52:00Z,33,,21,,,,,,,,
Modoc,7/9/2015,0,0,2015-07-09T15:00:00Z,25,,43,,,,,,,,
Siskiyou,7/13/2015,41.8048,-122.5029,2015-07-13T17:56:00Z,47,,181,,,,,,,,
Orange,7/10/2015,33.7626,-117.7274,2015-07-10T12:41:00Z,30,,214,,,,,,,,
San Luis Obispo,7/13/2015,35.7183,-121.0157,2015-07-13T10:47:00Z,40,,95,,,,,,,,
San Diego,7/16/2015,33.21407,-116.73472,2015-07-16T11:30:00Z,37,,25,,,,,,,,
San Benito,7/20/2015,36.8727,-121.5681,2015-07-20T13:23:00Z,35,,25,,,,,,,,
San Bernardino,7/17/2015,34.339,-117.478,2015-07-17T14:33:00Z,36,,4250,,,,,,,,
Merced,7/18/2015,0,0,2015-07-18T22:27:00Z,24,,1333,,,,,,,,
San Bernardino,7/12/2015,34.0783472,-117.0487863,2015-07-12T14:46:00Z,36,,54,,,,,,,,
Fresno,7/18/2015,0,0,2015-07-18T16:31:00Z,10,,60,,,,,,,,
Placer,7/21/2015,38.9361,-121.1548,2015-07-21T17:00:00Z,31,,26,,,,,,,,
Siskiyou,7/22/2015,41.999341,-121.891226,2015-07-22T18:17:00Z,47,,24,,,,,,,,
Modoc,7/24/2015,40.856422,-121.101623,2015-07-24T12:43:00Z,25,,77,,,,,,,,
San Diego,7/23/2015,32.682547,-116.51684,2015-07-23T17:30:00Z,37,,25,,,,,,,,
Tulare,7/24/2015,36.085212,-118.824235,2015-07-24T16:18:00Z,54,,430,,,,,,,,
San Diego,7/23/2015,33.383889,-116.868611,2015-07-23T16:40:00Z,37,,167,,,,,,,,
Modoc,7/21/2015,41.29226,-121.172117,2015-07-21T12:35:00Z,25,,116,,,,,,,,
Stanislaus,7/28/2015,37.24523,-121.20324,2015-07-28T12:10:00Z,50,,40,,,,,,,,
El Dorado,7/23/2015,38.776,-120.404,2015-07-23T14:00:00Z,9,,75,,,,,,,,
Contra Costa,7/30/2015,37.81629,-121.68113,2015-07-30T11:18:00Z,7,,195,,,,,,,,
Trinity,7/30/2015,0,0,2015-07-30T12:57:00Z,53,,77081,,,,,,,,
Modoc,7/29/2015,41.399,-121.392,2015-07-29T16:30:00Z,25,,4863,,,,,,,,
Shasta,7/28/2015,40.49865,-122.20109,2015-07-28T17:19:00Z,45,,90,,,,,,,,
Shasta,7/30/2015,40.509552,-122.199227,2015-07-30T17:45:00Z,45,,75,,,,,,,,
Humboldt,7/30/2015,40.1093,-123.774,2015-07-30T22:30:00Z,12,,16,,,,,,,,
San Bernardino,7/30/2015,34.16027778,-116.8927778,2015-07-30T16:00:00Z,36,,31359,,,,,,,,
Merced,7/31/2015,0,0,2015-07-31T21:37:00Z,24,,1450,,,,,,,,
Shasta,7/29/2015,40.415108,-122.439939,2015-07-29T17:55:00Z,45,,212,,,,,,,,
Humboldt,7/24/2015,41.295667,-123.784067,2015-07-24T23:00:00Z,12,,158,,,,,,,,
Trinity,6/17/2015,0,0,2015-06-17T15:52:00Z,53,,0,,,,,,,,
Trinity,7/30/2015,0,0,2015-07-30T13:36:00Z,53,,29416,,,,,,,,
Butte,7/30/2015,39.43963,-121.38794,2015-07-30T16:00:00Z,4,,400,,,,,,,,
Mendocino,7/29/2015,39.43301,-123.36316,2015-07-29T11:25:00Z,23,,50,,,,,,,,
Del Norte,7/17/2015,0,0,2015-07-17T21:30:00Z,8,,30361,,,,,,,,
Lassen,8/3/2015,40.938,-120.105,2015-08-03T14:28:00Z,18,,10570,,,,,,,,
Tuolumne,7/31/2015,37.823,-120.15644,2015-07-31T21:00:00Z,55,,204,,,,,,,,
Los Angeles,8/3/2015,34.367,-117.683,2015-08-03T14:15:00Z,19,,200,,,,,,,,
Shasta,7/29/2015,40.67868,-121.93244,2015-07-29T16:30:00Z,45,,75,,,,,,,,
Shasta,8/2/2015,40.3929,-122.40546,2015-08-02T03:00:00Z,45,,59,,,,,,,,
Tulare,8/3/2015,36.49845,-118.9009,2015-08-03T18:07:00Z,54,,86,,,,,,,,
San Bernardino,8/1/2015,0,0,2015-08-01T13:04:00Z,36,,65,,,,,,,,
Yuba,7/30/2015,39.33303,-121.18735,2015-07-30T12:40:00Z,58,,30,,,,,,,,
Mendocino,7/30/2015,0,0,2015-07-30T14:00:00Z,23,,227,,,,,,,,
Tehama,8/8/2015,40.3506868,-121.7786799,2015-08-08T14:55:00Z,52,,110,,,,,,,,
San Diego,8/9/2015,33.4115972,-117.2886249,2015-08-09T08:22:00Z,37,,55,,,,,,,,
Nevada,8/2/2015,39.192088,-120.882313,2015-08-02T13:15:00Z,29,,2304,,,,,,,,
Ventura,7/25/2015,0,0,2015-07-25T14:37:00Z,56,,282,,,,,,,,
Madera,7/25/2015,37.279722,-119.50014,2015-07-25T14:30:00Z,20,,5702,,,,,,,,
Lake,7/29/2015,38.8863538,-122.4762475,2015-07-29T15:29:00Z,17,,69438,,,,,,,,
Riverside,8/10/2015,33.5736,-116.5387,2015-08-10T11:44:00Z,33,,543,,,,,,,,
Los Angeles,8/14/2015,0,0,2015-08-14T15:22:00Z,19,,300,,,,,,,,
Ventura,8/15/2015,0,0,2015-08-15T16:11:00Z,56,,186,,,,,,,,
Tuolumne,8/16/2015,37.83618,-120.61691,2015-08-16T15:30:00Z,55,,112,,,,,,,,
San Diego,8/13/2015,0,0,2015-08-13T16:15:00Z,37,,1850,,,,,,,,
Calaveras,8/13/2015,38.052,-120.5577,2015-08-13T13:03:00Z,5,,114,,,,,,,,
Humboldt,7/30/2015,0,0,2015-07-30T16:02:00Z,12,,4883,,,,,,,,
Los Angeles,8/16/2015,0,0,2015-08-16T13:30:00Z,19,,374,,,,,,,,
Kern,8/20/2015,0,0,2015-08-20T15:57:00Z,15,,167,,,,,,,,
Alameda,8/20/2015,37.3845,-121.3732,2015-08-20T16:00:00Z,1,,2700,,,,,,,,
Siskiyou,8/19/2015,0,0,2015-08-19T14:45:00Z,47,,69,,,,,,,,
Mono,8/14/2015,0,0,2015-08-14T21:31:00Z,26,,3676,,,,,,,,
Trinity,7/30/2015,0,0,2015-07-30T21:30:00Z,53,,36503,,,,,,,,
Lake,8/9/2015,38.8142503,-122.4867319,2015-08-09T15:34:00Z,"17,28",,25118,,,,,,,,
Napa,8/9/2015,38.8142503,-122.4867319,2015-08-09T15:34:00Z,"17,28",,25118,,,,,,,,
Lake,8/24/2015,38.831478,-122.53428,2015-08-24T12:12:00Z,17,,22,,,,,,,,
Lake,8/22/2015,38.925764,-122.879272,2015-08-22T17:30:00Z,17,,215,,,,,,,,
San Luis Obispo,8/16/2015,35.3477,-120.6269,2015-08-16T18:13:00Z,40,,2446,,,,,,,,
Humboldt,8/18/2015,40.1058823,-124.0720419,2015-08-18T18:30:00Z,12,,146,,,,,,,,
Trinity,8/25/2015,40.724898,-122.96174,2015-08-25T14:08:00Z,53,,128,,,,,,,,
Lassen,8/29/2015,41.12362,-121.194256,2015-08-29T16:06:00Z,18,,30,,,,,,,,
Sacramento,9/3/2015,0,0,2015-09-03T12:12:00Z,34,,110,,,,,,,,
Butte,9/2/2015,26.42,-121,2015-09-02T13:18:00Z,4,,72,,,,,,,,
Tulare,7/19/2015,36.24,-118.54,2015-07-19T08:00:00Z,54,,6980,,,,,,,,
Lake,9/2/2015,55.23,-122,2015-09-02T14:57:00Z,17,,673,,,,,,,,
Santa Clara,9/9/2015,0,0,2015-09-09T14:12:00Z,43,,215,,,,,,,,
Lassen,9/8/2015,40.400196,-120.553075,2015-09-08T15:56:00Z,18,,40,,,,,,,,
Trinity,9/9/2015,40,41.46,2015-09-09T15:58:00Z,53,,35,,,,,,,,
Mariposa,9/7/2015,0,0,2015-09-07T21:23:00Z,22,,415,,,,,,,,
Fresno,8/23/2015,40.400196,-120.553075,2015-08-23T12:25:00Z,10,,170,,,,,,,,
San Bernardino,9/9/2015,34.23,-116.883,2015-09-09T14:30:00Z,36,,55,,,,,,,,
Shasta,9/11/2015,40.47512,-122.52541,2015-09-11T15:08:00Z,45,,109,,,,,,,,
Tuolumne,9/9/2015,38.04684,-120.30188,2015-09-09T11:45:00Z,55,,108,,,,,,,,
Kern,9/8/2015,0,0,2015-09-08T13:23:00Z,15,,45,,,,,,,,
Butte,9/11/2015,39.5218,-121.3363,2015-09-11T14:15:00Z,4,,1042,,,,,,,,
Monterey,9/22/2015,36.5696373,-121.7556029,2015-09-22T07:00:00Z,27,,95,,,,,,,,
Nevada,9/19/2015,39.081,-121.194,2015-09-19T15:25:00Z,29,,30,,,,,,,,
Monterey,9/19/2015,36.3699644,-121.589554,2015-09-19T15:00:00Z,27,,1086,,,,,,,,
Butte,10/2/2015,39.8707,-121.8938,2015-10-02T14:38:00Z,4,,104,,,,,,,,
Butte,10/3/2015,0,0,2015-10-03T21:15:00Z,4,,860,,,,,,,,
Siskiyou,10/10/2015,0,0,2015-10-10T12:00:00Z,47,,58,,,,,,,,
San Benito,10/12/2015,36.70854,-121.32734,2015-10-12T16:00:00Z,35,,670,,,,,,,,
Ventura,11/7/2015,34.15,-118.879444,2015-11-07T01:45:00Z,56,,50,,,,,,,,
Fresno,7/31/2015,36.874,-118.905,2015-07-31T19:00:00Z,10,,151623,,,,,,,,
Del Norte,8/1/2015,0,0,2015-08-01T23:23:00Z,8,,7509,,,,,,,,
Santa Barbara,10/29/2015,34.4828,-119.63216,2015-10-29T05:30:00Z,42,,21,,,,,,,,
Ventura,11/11/2015,0,0,2015-11-11T17:40:00Z,56,,29,,,,,,,,
Los Angeles,4/19/2016,34.6888731,-118.7892593,2016-04-19T13:09:00Z,19,,0,,,,,,,,
Merced,4/24/2016,37.2171,-121.08036,2016-04-24T11:10:00Z,24,,30,,,,,,,,
Fresno,4/28/2016,0,0,2016-04-28T17:45:00Z,10,,151,,,,,,,,
Ventura,4/28/2016,0,0,2016-04-28T19:00:00Z,56,,50,,,,,,,,
San Luis Obispo,5/10/2016,35.61961,-120.39993,2016-05-10T16:11:00Z,40,,150,,,,,,,,
Monterey,5/12/2016,35.8378273,-121.0381507,2016-05-12T14:13:00Z,27,,25,,,,,,,,
Ventura,5/12/2016,0,0,2016-05-12T14:13:00Z,56,,20,,,,,,,,
Fresno,5/15/2016,36.78769,-119.38248,2016-05-15T16:38:00Z,10,,132,,,,,,,,
Placer,5/17/2016,38.8390117,-121.3090268,2016-05-17T15:06:00Z,31,,169,,,,,,,,
San Luis Obispo,5/18/2016,0,0,2016-05-18T14:27:00Z,40,,3712,,,,,,,,
Siskiyou,5/19/2016,0,0,2016-05-19T15:37:00Z,47,,56,,,,,,,,
Monterey,5/25/2016,36.38123,-121.20059,2016-05-25T01:03:00Z,27,,3876,,,,,,,,
Fresno,5/22/2016,36.88286,-119.654,2016-05-22T15:27:00Z,10,,278,,,,,,,,
Los Angeles,5/23/2016,34.276,-118.354,2016-05-23T14:15:00Z,19,,156,,,,,,,,
Shasta,5/25/2016,0,0,2016-05-25T16:51:00Z,45,,11,,,,,,,,
Butte,5/27/2016,39.33035,-121.78973,2016-05-27T13:43:00Z,4,,91,,,,,,,,
Butte,5/29/2016,39.624017,-121.595093,2016-05-29T16:51:00Z,4,,30,,,,,,,,
Tuolumne,5/30/2016,37.927613,-120.528836,2016-05-30T15:10:00Z,55,,85,,,,,,,,
Sacramento,6/3/2016,38.3131,-121.06452,2016-06-03T17:39:00Z,34,,32,,,,,,,,
San Benito,6/3/2016,36.80296,-121.40304,2016-06-03T16:57:00Z,35,,30,,,,,,,,
Kern,6/3/2016,0,0,2016-06-03T12:41:00Z,15,,43,,,,,,,,
El Dorado,5/30/2016,38.64107,-120.6955,2016-05-30T17:57:00Z,9,,25,,,,,,,,
Riverside,5/31/2016,33.476894,-117.140883,2016-05-31T13:48:00Z,33,,139,,,,,,,,
San Diego,6/4/2016,33.41639,-117.08829,2016-06-04T11:40:00Z,37,,70,,,,,,,,
Stanislaus,6/7/2016,37.17072,-121.42238,2016-06-07T16:30:00Z,50,,120,,,,,,,,
Tehama,6/11/2016,39.7947,-121.857,2016-06-11T14:30:00Z,52,,80,,,,,,,,
San Benito,6/11/2016,36.49914,-121.04993,2016-06-11T15:04:00Z,35,,83,,,,,,,,
Kern,6/11/2016,35.77135,-120.251,2016-06-11T16:02:00Z,15,,61,,,,,,,,
Shasta,6/12/2016,40.61388,-122.46777,2016-06-12T12:45:00Z,45,,24,,,,,,,,
Los Angeles,6/4/2016,0,0,2016-06-04T16:09:00Z,19,,0,,,,,,,,
Calaveras,6/15/2016,0,0,2016-06-15T12:46:00Z,5,,83,,,,,,,,
San Luis Obispo,6/4/2016,35.01382,-119.58206,2016-06-04T17:46:00Z,40,,0,,,,,,,,
Tulare,6/1/2016,35.84883,-118.08591,2016-06-01T15:35:00Z,54,,0,,,,,,,,
Monterey,6/17/2016,36.01542,-121.25029,2016-06-17T14:30:00Z,27,,2520,,,,,,,,
San Benito,6/4/2016,0,0,2016-06-04T14:33:00Z,35,,237,,,,,,,,
Butte,6/18/2016,39.595,-121.6008,2016-06-18T16:47:00Z,4,,112,,,,,,,,
Monterey,6/20/2016,36.2833,-121.3306,2016-06-20T16:38:00Z,27,,70,,,,,,,,
Amador,6/21/2016,38.26874,-120.90265,2016-06-21T10:26:00Z,3,,210,,,,,,,,
Placer,6/21/2016,38.86804,-121.37704,2016-06-21T12:24:00Z,31,,88,,,,,,,,
Butte,6/21/2016,39.43351,-121.6051,2016-06-21T15:09:00Z,4,,49,,,,,,,,
Tehama,6/17/2016,39.93965,-122.40142,2016-06-17T14:54:00Z,52,,43,,,,,,,,
Monterey,6/23/2016,36.1934,-120.9293,2016-06-23T17:57:00Z,27,,52,,,,,,,,
Merced,6/25/2016,37.07147,-121.20155,2016-06-25T16:11:00Z,24,,1246,,,,,,,,
Alameda,6/25/2016,37.74369,-121.58677,2016-06-25T23:45:00Z,1,,211,,,,,,,,
Yolo,6/26/2016,38.69971,-122.15457,2016-06-26T15:45:00Z,57,,277,,,,,,,,
Lake,6/26/2016,39.12366,-122.50373,2016-06-26T16:00:00Z,17,,215,,,,,,,,
Amador,6/28/2016,38.385,-121.003611,2016-06-28T19:02:00Z,3,,372,,,,,,,,
San Luis Obispo,6/27/2016,35.70821,-120.82266,2016-06-27T12:07:00Z,40,,86,,,,,,,,
Orange,6/26/2016,33.57872,-117.77395,2016-06-26T13:10:00Z,30,,47,,,,,,,,
San Diego,6/27/2016,32.60729,-116.63028,2016-06-27T18:00:00Z,37,,7609,,,,,,,,
Ventura,6/30/2016,34.701,-119.144,2016-06-30T16:55:00Z,56,,2304,,,,,,,,
Calaveras,6/19/2016,38.22017,-120.8678,2016-06-19T11:03:00Z,5,,33,,,,,,,,
Tehama,7/1/2016,40.07846,-122.2071,2016-07-01T13:54:00Z,52,,88,,,,,,,,
Ventura,7/1/2016,34.27619,-118.63264,2016-07-01T14:00:00Z,56,,45,,,,,,,,
Inyo,7/1/2016,36.58972,-118.15589,2016-07-01T12:56:00Z,14,,30,,,,,,,,
Tehama,6/30/2016,40.0353,-122.56939,2016-06-30T13:32:00Z,52,,464,,,,,,,,
Fresno,7/1/2016,36.0749,-120.452041,2016-07-01T17:16:00Z,10,,2944,,,,,,,,
Madera,7/4/2016,37.25601,-119.65776,2016-07-04T11:53:00Z,20,,103,,,,,,,,
Fresno,7/4/2016,36.14161,-120.62048,2016-07-04T17:15:00Z,10,,145,,,,,,,,
Kern,7/1/2016,35.20993,-118.72272,2016-07-01T14:05:00Z,15,,1785,,,,,,,,
Calaveras,7/2/2016,38.02845,-120.61153,2016-07-02T14:55:00Z,5,,310,,,,,,,,
Mono,6/25/2016,37.97,-119.14,2016-06-25T06:30:00Z,26,,650,,,,,,,,
Kern,7/9/2016,34.913,118.9082,2016-07-09T12:43:00Z,15,,554,,,,,,,,
San Benito,7/8/2016,5487,-120.841536,2016-07-08T11:15:00Z,35,,95,,,,,,,,
Kern,7/10/2016,35.6115,-118.45628,2016-07-10T15:30:00Z,15,,48019,,,,,,,,
Sacramento,6/23/2016,38.517772,-121.103642,2016-06-23T15:51:00Z,34,,87,,,,,,,,
Santa Barbara,7/8/2016,34.776,-119.643,2016-07-08T22:45:00Z,42,,7474,,,,,,,,
Shasta,7/11/2016,40.36873,-122.72913,2016-07-11T12:58:00Z,45,,441,,,,,,,,
Ventura,6/15/2016,33.11645,-116.58542,2016-06-15T15:21:00Z,56,,15,,,,,,,,
Fresno,7/11/2016,36.92244,-119.39619,2016-07-11T14:30:00Z,10,,188,,,,,,,,
Calaveras,7/12/2016,37.96311,-120.67335,2016-07-12T15:19:00Z,5,,35,,,,,,,,
Kern,7/13/2016,35.68313,-118.21793,2016-07-13T17:08:00Z,15,,221,,,,,,,,
Riverside,7/12/2016,0,0,2016-07-12T15:20:00Z,33,,173,,,,,,,,
Yolo,7/13/2016,38.8866,-122.04726,2016-07-13T15:52:00Z,57,,84,,,,,,,,
Ventura,7/15/2016,36.92244,-119.39619,2016-07-15T14:00:00Z,56,,78,,,,,,,,
Los Angeles,7/15/2016,34.36763,-118.57245,2016-07-15T23:55:00Z,19,,1109,,,,,,,,
Calaveras,7/9/2016,38.08056,-120.81394,2016-07-09T12:04:00Z,5,,341,,,,,,,,
Kern,7/15/2016,35.60748,-118.94811,2016-07-15T16:45:00Z,15,,138,,,,,,,,
Fresno,7/12/2016,37.0099,-119.5792,2016-07-12T13:14:00Z,10,,123,,,,,,,,
El Dorado,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,"9,31",,5646,,,,,,,,
Placer,6/28/2016,38.96741,-120.9375,2016-06-28T13:55:00Z,"9,31",,5646,,,,,,,,
San Diego,7/19/2016,32.9612,-116.7945,2016-07-19T14:09:00Z,37,,100,,,,,,,,
Siskiyou,7/18/2016,41.96191,-122.59328,2016-07-18T13:08:00Z,47,,26,,,,,,,,
Lake,7/21/2016,39.0863,-122.7891,2016-07-21T20:30:00Z,17,,69,,,,,,,,
Solano,7/22/2016,38.33475,-122.02564,2016-07-22T13:01:00Z,48,,57,,,,,,,,
Calaveras,7/19/2016,37.98171,-120.64241,2016-07-19T17:16:00Z,5,,57,,,,,,,,
Siskiyou,7/21/2016,41.71847,-122.36924,2016-07-21T15:06:00Z,47,,23,,,,,,,,
Monterey,7/22/2016,35.85093,-120.81081,2016-07-22T15:15:00Z,27,,100,,,,,,,,
El Dorado,7/22/2016,38.79549,-121.00299,2016-07-22T13:15:00Z,9,,50,,,,,,,,
Contra Costa,7/22/2016,38.01264,-122.1885,2016-07-22T14:47:00Z,7,,40,,,,,,,,
San Diego,7/24/2016,33.00056,-116.9571,2016-07-24T16:30:00Z,37,,28,,,,,,,,
Madera,7/21/2016,0,0,2016-07-21T12:53:00Z,20,,80,,,,,,,,
Tehama,7/25/2016,0,0,2016-07-25T16:55:00Z,52,,11,,,,,,,,
Butte,7/28/2016,0,0,2016-07-28T14:27:00Z,4,,35,,,,,,,,
San Diego,7/21/2016,33.393,-117.35093,2016-07-21T16:06:00Z,37,,1245,,,,,,,,
Santa Clara,7/30/2016,37.41896,-121.79669,2016-07-30T17:25:00Z,43,,114,,,,,,,,
Madera,7/29/2016,37.24006,-119.4741,2016-07-29T14:55:00Z,20,,38,,,,,,,,
Lake,7/29/2016,0,0,2016-07-29T17:55:00Z,17,,25,,,,,,,,
Lassen,7/30/2016,0,0,2016-07-30T17:25:00Z,18,,42,,,,,,,,
Tuolumne,7/30/2016,37.81434,-120.69521,2016-07-30T16:25:00Z,55,,32,,,,,,,,
Butte,8/2/2016,39.6708,-121.7192,2016-08-02T14:35:00Z,4,,550,,,,,,,,
Stanislaus,8/3/2016,0,0,2016-08-03T16:08:00Z,50,,140,,,,,,,,
Stanislaus,8/3/2016,0,0,2016-08-03T17:27:00Z,50,,100,,,,,,,,
Tehama,8/4/2016,40.19611,-122.26736,2016-08-04T15:45:00Z,52,,80,,,,,,,,
Madera,8/5/2016,37.3228,-119.7738,2016-08-05T13:49:00Z,20,,85,,,,,,,,
Amador,8/4/2016,38.2581,-120.8657,2016-08-04T14:13:00Z,3,,26,,,,,,,,
Mono,8/4/2016,0,0,2016-08-04T14:09:00Z,26,,2819,,,,,,,,
Mono,8/6/2016,0,0,2016-08-06T15:00:00Z,26,,122,,,,,,,,
Kern,8/5/2016,35.24504,-118.60344,2016-08-05T15:45:00Z,15,,100,,,,,,,,
El Dorado,8/4/2016,0,0,2016-08-04T17:10:00Z,9,,25,,,,,,,,
Fresno,7/22/2016,37.01591,-119.50507,2016-07-22T14:11:00Z,10,,2241,,,,,,,,
Los Angeles,7/30/2016,0,0,2016-07-30T16:40:00Z,19,,0,,,,,,,,
Lake,8/9/2016,36.09974,-120.51057,2016-08-09T17:30:00Z,17,,45,,,,,,,,
Lake,8/9/2016,38.68403,-122.26015,2016-08-09T18:50:00Z,17,,36,,,,,,,,
Shasta,8/9/2016,40.61213,-122.47091,2016-08-09T12:14:00Z,45,,35,,,,,,,,
San Diego,8/10/2016,33.22558,-117.14547,2016-08-10T09:14:00Z,37,,35,,,,,,,,
Yolo,8/2/2016,38.52513,-122.06788,2016-08-02T16:36:00Z,57,,5731,,,,,,,,
Santa Clara,8/12/2016,37.06531,-121.68577,2016-08-12T16:00:00Z,43,,25,,,,,,,,
San Bernardino,8/7/2016,34.28771,-117.27338,2016-08-07T12:18:00Z,36,,8110,,,,,,,,
Humboldt,8/11/2016,40.4572,-124.05804,2016-08-11T14:57:00Z,12,,23,,,,,,,,
Fresno,8/9/2016,36.09974,-120.51057,2016-08-09T13:08:00Z,10,,7050,,,,,,,,
Yuba,8/17/2016,36.16965,-121.38775,2016-08-17T15:19:00Z,58,,400,,,,,,,,
Santa Clara,8/18/2016,0,0,2016-08-18T15:35:00Z,43,,100,,,,,,,,
