Counties (Location),FormattedDate,Latitude,Longitude,Started (Date),CountyIds (might not need this one),Wildfire_Probability,AcresBurned
Calaveras,10/8/2017,38.19906,-120.83484,2017-10-08T04:53:00Z,5,,15
Calaveras,9/3/2017,38.20176,-120.67848,2017-09-03T09:23:00Z,5,,22
Calaveras,9/22/2019,38.20177,-120.827386,2019-09-22T18:25:56Z,5,,67
Calaveras,6/19/2016,38.22017,-120.8678,2016-06-19T11:03:00Z,5,,33
Tuolumne,8/5/2013,38.25108,-120.02778,2013-08-05T06:00:00Z,55,,1070
Calaveras,7/7/2017,38.29113,-120.62177,2017-07-07T12:56:00Z,5,,117
Mono,10/7/2018,38.347395,-119.45186,2018-10-07T13:00:00Z,26,,6974
Tuolumne,10/15/2018,38.349,-119.929,2018-10-15T11:57:00Z,55,,36450
Calaveras,7/4/2017,38.40234,-120.52953,2017-07-04T16:55:00Z,5,,130
Lake,6/10/2013,38.4229,-122.0437,2013-06-10T00:46:00Z,"49,48,17,6",,28
Mono,6/18/2017,38.46111,-119.48284,2017-06-18T15:10:00Z,26,,370
Mono,5/14/2017,38.655,-119.55425,2017-05-14T12:00:00Z,26,,8925
Lake,7/1/2014,38.664,-122.454,2014-07-01T12:08:00Z,"28,17",,4300
Lake,8/9/2016,38.68403,-122.26015,2016-08-09T18:50:00Z,17,,36
Lake,8/9/2015,38.8142503,-122.4867319,2015-08-09T15:34:00Z,"17,28",,25118
Lake,7/5/2018,38.8275,-122.3625,2018-07-05T12:31:00Z,17,,60
Lake,8/24/2015,38.831478,-122.53428,2015-08-24T12:12:00Z,17,,22
Lake,8/11/2017,38.86056,-122.62382,2017-08-11T12:57:00Z,17,,40
Lake,11/8/2013,38.882214,-122.567525,2013-11-08T13:42:00Z,17,,120
Lake,7/29/2015,38.8863538,-122.4762475,2015-07-29T15:29:00Z,17,,69438
Lake,6/16/2018,38.886518,-122.476381,2018-06-16T14:04:00Z,17,,32
Lake,10/17/2019,38.88913,-122.604425,2019-10-17T20:06:00Z,17,,25
Lake,8/13/2016,38.89741,-122.60664,2016-08-13T18:03:00Z,17,,3929
Lake,9/5/2019,38.910498,-122.642572,2019-09-05T14:33:01Z,17,,28
Lake,6/29/2018,38.91152,-122.86854,2018-06-29T15:11:00Z,17,,50
Lake,6/9/2018,38.91842,-122.85276,2018-06-09T14:45:00Z,17,,24
Lake,8/22/2015,38.925764,-122.879272,2015-08-22T17:30:00Z,17,,215
Lake,11/23/2013,38.9289,-122.5818,2013-11-23T14:17:00Z,17,,23
Lake,7/20/2017,38.94599,-122.81135,2017-07-20T14:43:00Z,17,,62
Lake,9/7/2019,38.955024,-122.833831,2019-09-07T20:31:46Z,17,,53
Lake,9/15/2013,38.9777,-122.683,2013-09-15T17:39:00Z,17,,30
Lake,6/20/2013,38.98058,-122.81796,2013-06-20T14:29:00Z,17,,25
Lake,6/23/2018,38.981389,-122.97222,2018-06-23T19:39:00Z,17,,36
Lake,7/28/2019,38.99174,-122.7751,2019-07-28T15:58:00Z,17,,20
Lake,6/5/2013,38.99233,-122.703193,2013-06-05T16:05:00Z,17,,30
Lake,8/17/2013,39.013682,-122.491894,2013-08-17T17:25:00Z,17,,70
Lake,10/9/2017,39.01387,-122.64543,2017-10-09T00:57:00Z,17,,2207
Lake,9/3/2017,39.01748,-122.49327,2017-09-03T20:32:00Z,17,,21
Lake,7/8/2017,39.0199,-122.57487,2017-07-08T18:30:00Z,17,,100
Lake,7/19/2018,39.02017,-122.57496,2018-07-19T13:07:00Z,17,,103
Lake,11/23/2013,39.0448,-122.7656,2013-11-23T12:04:00Z,17,,50
Lake,10/30/2018,39.04786,-123.11971,2018-10-30T14:46:00Z,"6,17,23",,48920
Nevada,9/19/2017,39.06414,-121.13737,2017-09-19T13:02:00Z,29,,19
Lake,7/15/2018,39.06715,-122.59789,2018-07-15T11:55:00Z,17,,80
Lake,10/14/2018,39.0674,-122.59848,2018-10-14T06:45:00Z,17,,15185
Nevada,9/19/2015,39.081,-121.194,2015-09-19T15:25:00Z,29,,30
Nevada,10/20/2017,39.08382,-121.06656,2017-10-20T12:13:00Z,29,,10
Lake,7/21/2016,39.0863,-122.7891,2016-07-21T20:30:00Z,17,,69
Lake,10/23/2019,39.100408,-122.496548,2019-10-23T21:27:00Z,17,,75
Nevada,6/3/2018,39.10494,-121.07039,2018-06-03T16:16:00Z,29,,16
Nevada,9/13/2014,39.113682,-120.999508,2014-09-13T14:07:00Z,29,,247
Lake,6/26/2016,39.12366,-122.50373,2016-06-26T16:00:00Z,17,,215
Lake,8/30/2016,39.1408865,-122.9148951,2016-08-30T13:35:00Z,17,,20
Lake,7/11/2017,39.15016,-122.576,2017-07-11T16:51:00Z,17,,87
Lake,8/7/2013,39.1591,-122.5906,2013-08-07T12:35:00Z,17,,38
Lake,5/25/2014,39.1647,-122.5983,2014-05-25T12:20:00Z,17,,175
Nevada,10/3/2017,39.16826,-120.95498,2017-10-03T11:44:00Z,29,,15
Nevada,7/7/2014,39.1871,-121.2687,2014-07-07T16:12:00Z,29,,38
Nevada,8/2/2015,39.192088,-120.882313,2015-08-02T13:15:00Z,29,,2304
Nevada,10/9/2017,39.19325,-121.08406,2017-10-09T00:00:00Z,29,,76
Nevada,9/17/2016,39.20427,-121.05948,2016-09-17T13:40:00Z,29,,47
Glenn,11/8/2018,39.243283,-123.103367,2018-11-08T14:24:00Z,"6,11,17,23",,410203
Lake,11/29/2018,39.243283,-123.103367,2018-11-29T23:30:00Z,"6,11,17,23",,410203
Nevada,10/9/2017,39.24549,-121.12792,2017-10-09T00:01:00Z,29,,821
Nevada,8/31/2013,39.333401,-121.107022,2013-08-31T14:42:00Z,29,,52
Nevada,6/18/2017,39.34292,-121.12004,2017-06-18T14:04:00Z,29,,392
Nevada,10/16/2017,39.36902,-120.97586,2017-10-16T22:30:00Z,29,,10
Nevada,9/7/2016,39.39051,-120.51887,2016-09-07T15:09:00Z,29,,38
Nevada,8/18/2014,39.3918,-120.0805,2014-08-18T10:00:00Z,29,,84
Nevada,6/28/2019,39.40972222,-121.0005556,2019-06-28T15:03:04Z,29,,2
Lake,7/24/2017,39.42604,-123.03344,2017-07-24T12:00:00Z,17,,58
Sierra,6/11/2017,39.439722,-120.027222,2017-06-11T17:15:00Z,46,,747
Lake,6/26/2017,39.44543,-122.85194,2017-06-26T12:30:00Z,17,,200
Glenn,7/24/2018,39.46543,-122.65582,2018-07-24T15:24:00Z,11,,127
Glenn,5/4/2013,39.514139,-122.560862,2013-05-04T11:43:00Z,11,,217
State of Nevada,7/15/2019,39.631945,-119.769881,2019-07-15T10:49:00Z,59,,1165
Glenn,9/13/2018,39.64978,-122.58218,2018-09-13T15:37:00Z,11,,2290
Glenn,7/13/2018,39.65578,-122.58666,2018-07-13T14:32:00Z,11,,75
Sierra,6/29/2017,39.71101,-120.02325,2017-06-29T15:45:00Z,46,,168
Plumas,5/19/2017,39.75312,-120.75485,2017-05-19T14:45:00Z,32,,2575
Plumas,6/5/2017,39.75371,-120.1397,2017-06-05T13:17:00Z,32,,1020
Glenn,12/5/2017,39.75425,-122.17657,2017-12-05T13:35:00Z,11,,0
Plumas,6/4/2018,39.89075,-120.18499,2018-06-04T15:08:00Z,32,,20
Plumas,5/19/2017,39.9034,-120.9761,2017-05-19T23:28:00Z,32,,4310
Plumas,9/26/2016,39.92,-121.32,2016-09-26T13:23:00Z,32,,248
Plumas,6/28/2017,39.9864,-120.89746,2017-06-28T13:50:00Z,32,,186
Plumas,7/22/2018,39.996944,-121.27,2018-07-22T13:06:00Z,32,,117
Trinity,9/9/2015,40,41.46,2015-09-09T15:58:00Z,53,,35
Plumas,8/18/2013,40.00842,-120.764666,2013-08-18T18:30:00Z,32,,513
Humboldt,8/22/2017,40.03697,-123.64214,2017-08-22T14:00:00Z,12,,34
Plumas,4/13/2015,40.05083333,-120.7016667,2015-04-13T05:30:00Z,32,,137
Plumas,9/4/2019,40.061389,-120.680556,2019-09-04T15:17:31Z,32,,54612
Trinity,9/5/2019,40.062304,-123.222196,2019-09-05T09:25:00Z,53,,244
Humboldt,8/18/2015,40.1058823,-124.0720419,2015-08-18T18:30:00Z,12,,146
Humboldt,7/30/2015,40.1093,-123.774,2015-07-30T22:30:00Z,12,,16
Humboldt,7/12/2017,40.11794,-123.76099,2017-07-12T13:55:00Z,12,,85
Plumas,7/16/2017,40.13278,-120.9204,2017-07-16T14:51:00Z,32,,79
Trinity,5/18/2017,40.17598,-123.36882,2017-05-18T12:54:00Z,53,,4736
Trinity,5/12/2017,40.2275,-123.03583,2017-05-12T05:05:00Z,53,,13417
Humboldt,8/28/2017,40.27582,-123.64281,2017-08-28T08:01:00Z,12,,30
Humboldt,9/19/2017,40.39799,-123.57562,2017-09-19T19:47:00Z,12,,19
Trinity,7/1/2014,40.41,-123.24,2014-07-01T03:45:00Z,53,,15
Humboldt,8/11/2016,40.4572,-124.05804,2016-08-11T14:57:00Z,12,,23
